,Feci_Vecpac-WT_3297REP_01032024,Feci_Vecpac-WT_3302_29022024,Feci_Vecpac-WT_3307_29022024,Feci_Vecpac-WT_3319_29022024,Feci_Vecpac-WT_3329_29022024,Feci_Vecpac-WT_3337_29022024,Feci_Vecpac-WT_3353_29022024,Feci_Vecpac-WT_3354_29022024,Feci_Vecpac-WT_3369_29022024,Feci_Vecpac-WT_3673_28022024,Feci_Vecpac-WT_3674_28022024,Feci_Vecpac-WT_3675_28022024,Feci_Vecpac-WT_3677_28022024,Feci_Vecpac-WT_3678_28022024,Feci_Vecpac-WT_3679_29022024,Feci_Vecpac-WT_3680_29022024,Feci_Vecpac-WT_3681_29022024,Feci_Vecpac-WT_3687_29022024,Feci_Vecpac-WT_3688_29022024
2-Ethylacetoacetate,-0.1085336721,-0.4643127521, 0.2120298110,-0.7436403352, 1.3689238374, 0.9213754460, 0.5763342366, 2.2890808125, 0.8067685909, 0.4073909213, 0.1813074654,-0.4507545316,-0.7941925631, 0.1902776249,-0.3858509475, 1.5179483016, 0.5796433273,-0.5587144385,-0.5207273789
2-Ethylhexanoic acid, 0.034303842, 0.354797267, 0.292358449, 5.894912610,-0.216414811, 0.397833043,-0.362537696,-0.595481421,-0.003970214,-0.459103150,-0.764181013,-0.674099196,-0.674312524,-0.670930743,-0.748884314,-0.719550143,-0.767992902,-0.379575595,-0.342427979
"2-Furanacetaldehyde, tetrahydro-alpha",-0.27990092,-0.27991021,-0.27989224,-0.27989962,-0.27989646,-0.27991150,-0.27989452,-0.27991794,-0.27988401,-0.27989433,-0.27988599,-0.27986633,-0.27988994,-0.27989721,-0.27990932, 0.72021253, 0.75402094, 1.09047826, 1.20206362
2-Furoic acid,-0.257418509,-0.260146325,-0.254870180,-0.257039001,-0.256110415,-0.260523041,-0.255539718,-0.262414287,-0.252456032,-0.255484516,-0.253036409,-0.247268026,-0.254196342,-0.256330563,-0.259885410,-0.258603532,-0.259343460,-0.257993514,-0.259120715
2-Hydroxy-2-methylbutyric acid, 0.162305755,-0.309628243,-0.094404274,-0.524609172,-0.524217669, 0.138716453, 0.204808805,-0.006080130, 0.016007614, 0.001229660, 0.042431662,-0.033544252,-0.198990786,-0.524310486,-0.525809253,-0.130769241, 0.152082643,-0.525011606,-0.525486848
2-Hydroxy-3-methylbutyric acid,-0.42692605,-0.27982852,-0.42531927, 0.21980233,-0.42610127, 0.28820121,-0.42574143, 0.91310920,-0.42379710,-0.42570663, 0.42662481, 2.75485684,-0.42489441,-0.42624008, 0.20961253,-0.24204603,-0.37760689,-0.42728860,-0.42799932
2-Hydroxy-5-methoxybenzaldehyde, 0.0052532943,-0.6035145427, 0.5407492678,-0.5033542726, 0.3933110085,-0.1001318258,-0.1729354825, 2.8404562417, 0.7850311759, 0.1290648032, 0.3551341562, 0.9449436391,-0.1886771937,-0.4953850070, 0.2561495238, 1.0013166726, 0.1578964618, 0.1161490909, 0.2429772978
2-Isopropyl-5-methyl-1-heptanol,-0.58165048,-0.32614137,-0.05325961,-0.30879868,-0.79800658, 3.19241619,-0.16613129, 0.70635256,-0.67273012,-0.03087725,-0.01461416, 0.46180425,-0.02063475, 4.33542668,-0.33254716,-0.69574347,-0.78061346,-0.14527447,-0.09941935
2-Ketobutyric acid, 0.882369674,-0.017163989,-0.372468181,-0.376875150, 0.219621395,-0.335129857, 0.039310047, 0.759657460, 0.287144613, 0.100837542, 0.226109986, 0.538528561, 0.166989988, 0.116335500,-0.080419606,-0.414445722, 0.082441309, 0.100226983, 0.142872535
2-Ketohexanoic acid,-0.266027320,-0.266030702,-0.266024161,-0.266026849,-0.266025698,-0.266031169,-0.266024991,-0.266033513,-0.266021168,-0.266024922,-0.266021887,-0.266014737,-0.266023325,-0.266025971,-0.266030378,-0.266028789,-0.266029706,-0.266028033,-0.266029430
"2-Methyl-4,6-dinitrophenol",-0.21411461,-0.21446687,-0.21378553,-0.21406560,-0.21394569,-0.21451552, 0.08395156,-0.21475975, 3.85813771,-0.21386486,-0.21354873,-0.21280382, 6.67485200,-0.21397412,-0.21443318,-0.21426764,-0.21436319,-0.21418887,-0.21433443
2-Octanol,-0.534109755, 0.062963212,-0.531461871, 0.394326201, 0.560141166, 0.683123021,-0.532157566,-0.539300702,-0.528953411,-0.532100208,-0.529556460, 1.167577739,-0.530761709,-0.532979307,-0.536673030,-0.535341074,-0.536109909,-0.534707224,-0.535878461
2-Palmitoylglycerol,-0.211883236,-0.211885445,-0.211881172,-0.211882929,-0.133785344, 0.494460631,-0.211881715,-0.211887282, 0.817177717,-0.211881670,-0.211879687,-0.110659634,-0.211880627,-0.211882355,-0.211885234,-0.211884196,-0.211884795,-0.211883702, 0.797379148
"2-Pentenedioic acid, 2-hydroxy-", 0.278357777, 0.359055920, 2.055583851, 0.947734809,-0.473038784, 1.211487456, 2.087262892,-0.976496543,-0.865386328, 0.534152544, 0.438644956, 1.337049644, 2.406662767,-0.294342254, 0.708798312,-0.738991846, 3.920908882, 1.981716099, 0.909904215
2-Pentenedioic acid,-0.625984634,-0.316417451, 0.332702614,-0.624842835,-0.622049067,-0.635325017,-0.620332051,-0.641015073,-0.611054386,-0.007157524,-0.612800522,-0.595445602,-0.616290331,-0.622711408,-0.633406622,-0.629549928,-0.361510995,-0.627714609, 0.222723977
2-Piperidinone,-0.35316088,-0.45685855,-0.36477454,-0.40411343, 1.30487394,-0.40536710,-0.39350471,-0.31092377, 1.14436907,-0.36361187,-0.34652897,-0.24457027,-0.36045040,-0.45542470,-0.39057067,-0.24721743,-0.31692063,-0.34785461,-0.38967552
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)", 1.24931524, 2.82898340, 0.14870069, 0.28579497, 2.13974007,-0.14333084, 1.81810609, 0.03487519,-0.23780832, 0.03047059, 0.85224727,-0.06346623, 0.69205310,-0.61618723, 1.88779132, 0.05839942, 1.23818626, 0.20016224,-1.01043208
2-Pyrrolidinone,-2.08703175, 0.78656683,-0.23757906, 0.40960588, 0.42695917, 0.36063029, 0.56704444, 0.41810425,-0.02707668, 0.22408070, 0.14934646, 0.14314113,-0.22557515,-0.29182182,-0.70907465, 1.06030187,-0.27612902,-0.45098849,-0.28774289
2-tert-Butyl-4-ethylphenol,-0.743484321,-0.747144056, 0.557883021, 0.260161723,-0.262173778, 0.216733838,-0.179992159,-0.750186835,-0.736826485,-0.199506161,-0.737605138,-0.729866070,-0.739161347,-0.295094739,-0.746794004,-0.290322491,-0.746066905,-0.217295906,-0.150069030
3-(3-Hydroxyphenyl)propanoic acid,-0.41962282, 2.85472574,-0.54635827,-0.55626884, 3.99403294,-0.55414631,-0.48491008, 0.01639880, 1.01159759,-0.53114834,-0.51741887,-0.55264278,-0.57645848,-0.09115442,-0.54611460, 0.20182416,-0.55744082,-0.55347750,-0.57736780
"3,3,5-Trimethylcyclohexan-1-ol",-0.16193545, 0.29192835,-0.16123947, 0.25311103,-0.16157819,-0.16278333,-0.16142233,-0.16329986,-0.16058014,-0.16140725,-0.16073865,-0.15916323,-0.16105544,-0.16163832,-0.16260919,-0.16225909,-0.16246118,-0.16209249,-0.16240034
"3,4,5-Trihydroxypentanoic acid",-0.417530801,-0.582110011,-0.545867995,-0.203350039, 0.831583940, 0.008502914, 0.324747540, 0.100604212, 0.596705585, 1.110159872, 0.307717218, 0.258212773,-0.463432313, 0.042699055,-0.063700935, 0.202706093,-0.093421788,-0.144309671, 0.157141098
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino", 3.962194696,-0.254766495,-0.075899548,-0.176896208,-0.236718124,-0.236009045,-0.297338955, 1.160537575,-0.013494423,-0.006155555, 0.301167059, 0.379669654,-0.370464944,-0.434018590,-0.230285751,-0.030966394,-0.124942700,-0.184700674,-0.388064631
"3,4-Dihydroxy-5-methyl-dihydrofuran-2-one",-0.176570834,-0.178086858,-0.175154563,-0.176359917,-0.175843842,-0.178296224,-0.175526669,-0.179347312,-0.173812864,-0.175495989,-0.174135417,-0.170929553,-0.174780067,-0.175966192,-0.177941851,-0.177229429,-0.177640655,-0.176890402,-0.177516861
"3,4-Dimethoxymandelic acid", 0.973863297,-0.386944246,-0.831896300,-0.833812862, 0.072935103,-0.068778783, 0.117761241, 1.157872988, 0.381489400, 0.032995554, 0.283245221, 0.324988405, 0.119091965,-0.146324011,-0.302956620,-0.835195420,-0.835849287, 0.087594351,-0.835652449
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine", 3.44226637, 0.14087648,-1.09655410, 0.58903970, 0.40815590, 0.23584281, 0.11963026, 1.90976026, 1.00407447,-0.51169363,-1.22850661, 0.79740388,-0.95000350,-0.78794271,-0.67594287,-0.25465569, 0.11512438, 0.03095947,-0.65970849
"3,5-Dimethylphenol",-0.59866933,-0.60026504,-0.59717862,-0.59844733,-0.59790413,-0.60048541,-0.59757028,-0.60159175,-0.59576640,-0.59753799, 3.64039275,-0.59273154,-0.59678444,-0.59803291, 1.74680285,-0.59936255,-0.59979539,-0.59900570,-0.59966509
3-Amino-2-piperidone,-1.01651183, 1.12605967,-0.63913209,-0.25433195, 0.18735643,-0.07518561,-0.22324343,-1.02034849, 0.87506464, 0.73772003,-0.90087121,-0.46498589,-0.18074502, 1.14210041,-0.43483622, 1.09582150, 0.07092008,-0.60304243,-0.04539137
3-Aminoisobutyric acid,-0.17054857,-0.17472226,-0.16664951,-0.16996791,-0.16854713,-0.17529866,-0.16767394,-0.17819235,-0.16295575,-0.16758947,-0.16384375,-0.15501785,-0.16561851,-0.16888397,-0.17432305,-0.17236172,-0.17349384,-0.17142836,-0.17315303
3-Buten-2-one,-0.41128933,-0.41654473,-0.40637973,-0.41055817,-0.40876916,-0.41727051, 0.70082102,-0.42091417,-0.40172864,-0.40756330,-0.40284679, 1.96912906, 0.84082261,-0.40919329, 0.56793239, 4.41585089,-0.41499793,-0.41239713,-0.41456879
3-Deoxyhexitol, 0.3094122928,-0.3080217304,-0.1210195930,-0.2491846996, 1.1010232220,-0.5851813734,-0.3176636093, 0.1343575431,-0.1729466674,-0.2508440890,-0.2151669429, 0.1354349245,-0.1101853981,-0.2146585146,-0.0385533189,-0.5833818299,-0.5840755143,-0.2513271941,-0.1821105812
"3-Ethyl-3-methyl-pyrrolidine-2,5-dione", 0.208836632, 0.633727250,-0.934923524,-0.945496032, 1.486982866,-0.962479933,-0.938187371, 2.425485334,-0.923155105,-0.937918273, 0.003081359,-0.897864756, 0.547190717, 0.472377001,-0.180031159, 0.653983260, 0.151660475,-0.950149064,-0.047926397
3-Hexenedioic acid, 0.560873659, 0.428798374, 0.928914269,-0.248542627,-1.053369470,-0.195695996, 1.194716095, 3.824586646, 0.012208524, 0.761335415, 1.714477594, 0.941624499, 0.458653637,-0.654817430,-0.156243145,-0.177582909, 0.517823031, 0.580388662, 0.599396067
"3-Hydroxy-2,3-dihydromaltol",-0.0644352791, 0.1772438557, 0.2359778330,-0.5338444983, 7.1666574987,-0.2128533410,-0.2873946565,-0.2742715603, 1.4277514921,-0.3345826702,-0.3701521081,-0.4692685633, 0.0802191019,-0.2154226430,-0.3818914579, 0.5909546906,-0.1761480612,-0.2275310816, 0.1813260991
3-Hydroxybutyric acid, 1.16058287,-0.39592817, 0.28095255,-0.03576378,-0.13857858, 0.06564217,-0.16142190,-1.34540181,-0.45478149, 0.24596520, 0.70418301,-0.21484995,-0.43077419,-0.30038895, 0.16972043, 0.71477799, 0.94482108,-0.34454603, 1.13567692
3-Hydroxyisovaleric acid, 0.789726625,-0.316761354,-0.169157995,-0.260159805,-0.118447266,-0.271995419,-0.150733886, 0.598130677, 0.046101096,-0.187088275, 0.302751490, 0.838058543,-0.042791992,-0.222839356,-0.331363404, 0.069917766,-0.250591697,-0.201569468,-0.154257164
3-Methyl-2-furoic acid,-0.562046111, 0.529997937, 0.726983006, 0.218116842, 1.543732613, 0.231599058, 0.651354619, 1.878842146, 1.149632301,-0.663887627,-0.685704277,-0.853478724,-0.644900616,-0.656272269, 1.636391668, 2.053102993, 2.191473650, 1.413666783, 2.365549025
3-Methyl-2-oxovaleric acid,-0.270588945,-0.275491811,-0.266008682,-0.269906833,-0.268237831,-0.276168906,-0.267212083,-0.279568155,-0.261669590,-0.267112865,-0.262712735,-0.252344877,-0.264797553,-0.268633515,-0.275022854,-0.272718858,-0.274048776,-0.271622436,-0.273648422
3-Methylvaleric acid,-0.56931069, 0.38576886,-0.56856076,-0.34467428,-0.52154933,-0.57022430,-0.15176942, 2.16045802,-0.56785032, 0.49112935,-0.56802112, 1.78094366, 0.97250781,-0.56899053, 0.59220950,-0.22848334,-0.32335443, 0.65111331,-0.56981162
3-O-methyl-beta-D-Glucopyranose,-0.5781105, 2.7660300,-0.5772598,-0.5779838,-0.5776738, 4.3823543,-0.5774833,-0.5797783,-0.5764538, 3.2396449, 2.7760621,-0.5747219, 0.2620970,-0.5777473,-0.5789340,-0.5785061, 3.2183671,-0.5783025,-0.5786788
3-Oxo-1-cyclohexene-1-carboxylic acid,-0.37495233,-0.37837014,-0.37175940,-0.37447682,-0.37331335,-0.37884215, 3.09843645,-0.38121179,-0.36873459, 3.72236446,-0.36946177,-0.36223428,-0.37091511,-0.37358919, 2.66701963,-0.37643710,-0.37736420,-0.37567278,-0.37708511
"3-Pentenoic acid, 4-methyl",-0.223613461,-0.228730310,-0.218833293,-0.222901578,-0.221159733,-0.229436956,-0.220089217,-0.232984565,-0.214304824,-0.219985668,-0.215393496,-0.204573137,-0.217569305,-0.221572686,-0.228240885,-0.225836333,-0.227224294,-0.224692057,-0.226806467
3-Pyridylcarbinol,-1.540152286,-0.697379685, 3.408505913, 1.083611718, 0.261233054, 0.678688203,-0.037185559, 0.211633496,-0.230329553,-0.440255869,-0.210427346, 0.481930991,-0.493027799,-0.688872044,-0.125966219, 1.007573057, 0.757394257,-0.336141870,-0.320172285
3-hydroxypalmitic acid,-0.2764075,-0.2782535, 3.0153313, 2.9925057,-0.2755222,-0.2785084,-0.2751360,-0.2797883,-0.2730491,-0.2750986,-0.2734419,-0.2695382,-0.2742269,-0.2756712,-0.2780769,-0.2772094,-0.2278044,-0.2767966,-0.2775594
3-Undecene, 0.7830132301,-0.3800515951,-0.2208443066,-0.3475205001,-0.1372254873,-0.3083001262,-0.2665729451, 0.2713987621, 0.0675642174,-0.1406614139,-0.0802525812, 0.3600668095,-0.0064007680,-0.1504538205,-0.3459287589,-0.0175948149,-0.2340673242,-0.2356098063,-0.1115889394
pyrazole,-0.665521074,-0.471551876,-0.642576660,-0.665521057,-0.665521016,-0.665521211,-0.596229044,-0.665521294,-0.523038353,-0.485395477,-0.559742718,-0.665520627,-0.299694523,-0.665415363,-0.665518029,-0.477513027,-0.609622734,-0.665521099,-0.665521149
4-hydroxy-3-penten-2-one,-0.56039320,-0.31216436,-0.56006857, 0.79525553, 0.23070417, 0.67803891,-0.33307529,-0.56102960, 0.12847490, 0.38770242, 0.62775538, 1.13933406,-0.19663286, 0.06449341, 0.29340203,-0.56054415,-0.23435849,-0.56046644, 0.59216769
4-Aminobenzoic acid, 1.849479851,-0.186468043, 1.346228541, 1.218256514,-0.063555096, 0.168222359,-0.873437548,-0.882331294, 0.084153781, 0.342286680, 0.765720386,-0.862736320, 0.044967973,-0.477370214, 0.416575162,-0.877401256,-0.002184776, 1.120708563, 1.677546498
4-Coumaric acid, 0.367609890,-0.165987012,-0.179383672,-0.112373828,-0.311435473,-0.482165784,-0.246137081, 0.541120768, 0.167276047,-0.123332904, 0.033534438, 0.326784937,-0.012890281, 2.762595746, 0.700756832,-0.251397701,-0.402648461,-0.150698050, 0.074142810
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one, 3.68355286, 1.25266549,-0.27013962,-0.83591609, 1.11798058,-0.01076882, 1.27977610, 2.13212791, 2.05751821,-0.54232524,-0.61296068, 0.35651598,-0.50946427,-0.24358615,-0.53009960, 0.07495078,-0.07364395,-0.39268738,-0.05722332
4-Hydroxybenzaldehyde, 1.2319631850, 2.8634929693, 0.8160811168, 0.0219498930, 1.0791190993,-0.1326688777, 0.9104730035, 0.4793402643,-0.4607100307,-0.2080991011, 0.4493951210,-0.1000374582, 0.0545881302, 0.1068963505, 1.3691013667, 0.6917969425, 0.5838351068, 0.1156736142, 0.5169504347
4-Hydroxybenzeneacetic acid,-0.24966421, 0.34785864,-0.46583298,-0.48331912, 3.72484701,-0.72085882, 0.13410637,-0.08502488, 1.16622513,-0.81332104,-0.63372867,-0.53343621,-0.75709681, 0.39399669, 0.05786041, 0.29772705,-0.41810276,-0.56533746,-0.38793935
4-Hydroxybenzoic acid, 1.67852891, 3.23952523,-0.09181712, 0.48563965, 1.53431289,-0.53838186, 0.70865265, 0.22251080,-1.15075266,-0.38619046, 0.19421077,-0.85596453,-0.54683222,-0.82784003, 1.74194027,-0.64159471, 0.70511563,-0.88675813, 0.27375601
4-Hydroxybutanoic acid,-0.219423519,-0.066457401, 0.070405300,-0.219185182,-0.218602017,-0.221373210,-0.218243610, 0.153419064,-0.216307010,-0.218208943,-0.119763135, 8.213419442,-0.217399951,-0.218740272,-0.220972769,-0.220167731,-0.220632416,-0.115835194,-0.031194270
4-Hydroxyphenyllactic acid,-0.147658168,-0.863128487, 0.152503028,-0.410371604, 2.270809091,-0.664072277,-0.861319463, 0.216291828, 0.461668968, 0.743929847, 0.244330047,-0.607503018,-0.443346215, 0.019660928,-0.051315802, 0.593409005, 0.279029533,-0.228268072,-0.055199987
4-Methoxyphenol, 4.29076675,-1.49140448, 1.62159213, 0.77578511, 0.33478080, 0.72887521,-1.48946621, 1.27596914, 0.25161346, 0.94535719,-1.48841292, 2.10122357,-1.48890097,-1.48979896, 0.91846081, 0.69034660, 0.93872482,-1.49049866,-1.49097294
4-Methyl-5-thiazoleethanol, 3.304456663, 0.706920899, 0.459329470,-0.089950503, 0.477380025,-0.414795002, 0.416962093, 0.567494418, 0.095961324, 0.262625710, 0.756360254, 0.297773267, 0.547213136, 0.340271068,-0.204993160, 0.294985818, 0.105964956, 0.053141029,-0.515205817
4-Methylvaleric acid, 1.224922592,-0.527369958,-0.027971119,-0.319325955,-0.002598525, 0.003394039,-0.358163514, 0.397428859,-0.174375478,-0.136734591, 0.085355124,-0.104321382,-0.298119439,-0.316592249,-0.392294879, 0.085777740,-0.074536897,-0.280026881,-0.277423822
"4-Nonanone, 2,6,8-trimethyl",-0.261558612,-0.262335025, 3.871863672,-0.261450594,-0.261186292,-0.219162906,-0.261023856,-0.262980550,-0.260146153,-0.261008144,-0.260311344,-0.258669502,-0.260641494,-0.261248952,-0.262260761,-0.261895903,-0.262106507, 4.344757684,-0.262043108
4-Pyridinol,-1.072588301,-0.739753733, 1.167925103, 0.004912623,-0.510119666, 0.837657800,-1.039055947, 2.779348248, 0.022895338,-0.427757652, 0.993612677, 1.294091589,-0.360971701,-1.100489333, 0.146395612, 1.389722095, 0.929762734,-0.388897582,-0.228170529
4-Pyrimidinamine,-0.39370300,-0.39403695,-0.39339102,-0.39365654,-0.39354286,-0.39408307,-0.39347299,-0.39431460,-0.28014925,-0.39346623, 0.06560902,-0.39246034,-0.39330853,-0.39356981,-0.39400500,-0.39384807,-0.39393866,-0.39377339,-0.39391139
4-hydroxycyclohexylacetate,-0.53431971,-0.54023150,-0.10994205, 0.77231539,-0.53994804, 0.28097947,-0.53990796,-0.54039079,-0.53969137,-0.53990408, 2.64577644,-0.53932699,-0.53981360,-0.53996350, 3.00207941,-0.54012314,-0.54017511, 2.01316218, 2.96960203
"5,10-Diethoxy-2,3,7,8-tetrahydro-1H,6H-dipyrrolo[1,2-a:1',2'-d]pyrazine",-0.093525866, 0.117292381, 0.877850045, 0.865749265,-0.401479569, 2.377874949, 0.073097816,-0.404699671,-0.399612861,-0.157474547,-0.399909325, 0.191018714,-0.093853598,-0.401592023,-0.309297743,-0.166750996, 0.078025040, 0.093723189,-0.233575779
"5,8,11-Eicosatrienoic acid", 2.468189084,-0.128241064, 0.190015588,-0.419032076, 0.021941641,-0.218955407, 0.410585780, 1.660848837, 0.559443044, 0.425032564, 0.314983686, 0.577665233, 0.015391268,-0.126275464,-0.057000422, 0.009357500,-0.093365508, 0.006072090,-1.145272570
5alpha-Ergost-8(14)-ene,-0.21197830,-0.21316755,-0.21086731,-0.21181285,-0.21140802,-0.21333178,-0.21115921,-0.21415631,-0.20981482,-0.21113514,-0.21006784,-0.20755301,-0.21057354,-0.21150399,-0.21305380,-0.21249494,-0.21281752,-0.21222899,-0.21272041
5-Amino-1-pentanol,-0.223310314,-0.224337360,-0.222350846,-0.223167426,-0.222817805,-0.224479197,-0.222602933,-0.225191267,-0.221441898,-0.222582149,-0.221660415,-0.219488569,-0.222097140,-0.222900692,-0.224239123,-0.223756485, 6.908817733,-0.223526808,-0.223951209
5-Aminovaleric acid,-0.576237831,-0.469686356,-0.807034079,-0.611181650, 1.447203620,-0.733233862,-0.582945073,-0.063657621, 2.147774871,-0.258591131,-0.316839881,-0.047157747,-0.102992447,-0.223421385,-0.041519677,-0.046264954,-0.488297487,-0.160529275,-0.445231250
"5-Androsten-17alpha-methyl-3beta,17beta-diol",-0.3581098712,-0.3581386754,-0.3580829622,-0.3581058638,-0.3236372117,-0.3581426534,-0.3580900321, 1.2433972360,-0.3089904833,-0.3580894492,-0.3580635985,-0.3580026875,-0.3580758468,-0.3580983830, 0.1373218234, 0.2071413577,-0.0582035187,-0.3581159429,-0.3581278456
5-Henicosylresorcinol,-0.194663303,-0.196259821,-0.193171834,-0.194441187,-0.193897711,-0.196480303,-0.193563697,-0.197587198,-0.191758898,-0.193531389,-0.192098577,-0.188722496,-0.192777455,-0.194026557,-0.196107114,-0.195356865,-0.195789926,-0.194999838,-0.195659559
5-Hydroxy-2-methylpyridine,-0.336388048,-0.312377013,-0.335916107,-0.295339590,-0.294075128,-0.336962995,-0.336040103,-0.337313247,-0.335469016,-0.336029880,-0.335576499,-0.334508217,-0.335791315,-0.336186564,-0.323589324,-0.336607509,-0.336744541,-0.336494536,-0.336703290
5-Hydroxymethyl-2-furoic acid,-0.59088995, 0.86933196, 2.76140284,-0.58990684,-0.58750136, 0.92967652, 4.23451920,-0.60383140, 0.02785784,-0.58587999, 1.24412441,-0.56459535,-0.58254300,-0.58807165, 1.03891427,-0.33603722, 2.21326669, 1.16203815, 0.53154791
5-Methyluridine, 2.39203408, 0.41728612, 0.25514957,-0.21820294,-0.65336144, 0.16784513, 0.01873879,-0.87596510,-0.82449833, 0.29430048, 1.89515809,-0.08415497, 2.43872999,-0.21889330, 0.65372059,-0.63485600, 0.95106665, 2.11531009, 1.97553810
5-Oxohexanoic Acid,-0.629099544,-0.637075602,-0.621648300,-0.627989873,-0.625274715, 0.200379511,-0.623606012,-0.643707062,-0.614589399,-0.623444602,-0.616286403, 0.449051658, 0.338403430,-0.625918419,-0.636312695,-0.632564519,-0.634728050,-0.630780842,-0.634076748
5-hydroxy-n-valeric acid,-0.193758440,-0.194513244,-0.193053301,-0.193653428,-0.193396483,-0.194617484,-0.193238567,-0.195140804,-0.192385292,-0.193223292,-0.192545885,-0.190949737,-0.192866846,-0.193457399,-0.194441047,-0.194086344,-0.194291087, 9.952042450,-0.194229452
6-Hydroxyhexanoic acid, 0.789568667,-0.564679738,-0.556574574,-0.047578480, 0.170223887, 0.383265102, 0.171422484,-0.568163760,-0.052474894, 0.030419439, 0.457813839,-0.544896217, 0.298106974,-0.558818000,-0.104596301,-0.562309714,-0.563446385,-0.561372610, 0.042128093
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione", 1.27982936,-0.35829508, 0.06489608,-0.24810895,-0.10411487,-0.46514598,-0.56910663, 0.59153695,-0.01224855,-0.25719601,-0.49159565,-0.01083796,-0.18915089,-0.19948745,-0.68970503,-0.02228206,-0.57737566,-0.30006377,-0.28405539
8-Hydroxy-5-(hydroxymethyl)quinoline, 0.41514681, 0.41633292, 0.01560562,-0.40967848, 5.60393839,-0.24549931, 0.52295068, 2.11134871, 3.83525586, 0.45833270,-0.12434776,-0.60040924,-0.30971290, 0.58480534, 0.92927114, 0.95251780, 1.54238097,-0.26967778,-0.61042943
8-Hydroxyquinoline-2-carbaldehyde,-0.142590092,-0.143049194,-0.142161199,-0.142526220,-0.142369935,-0.143112596,-0.142273885,-0.143430900, 2.680633692, 0.556169379,-0.141852569,-0.140881729,-0.142047790,-0.142406987,-0.143005281,-0.142789536,-0.142914069,-0.142686868,-0.142876580
"9,12-Octadecadienoic acid",-0.358361897, 3.818474779,-0.358325404,-0.358356462,-0.358343165,-0.358406355,-0.305014372,-0.358433438,-0.358290833,-0.358334202,-0.358299144,-0.358216539,-0.358315755,-0.358346317, 0.725340007,-0.358378867,-0.358389463,-0.358370131,-0.358386273
9H-Purin-6-ol,-0.135752229, 1.903904505,-0.680261992,-0.557559074,-0.590959876, 0.177795629, 2.505827669,-0.568513938,-0.534344749, 1.422456703, 1.860115523, 0.694365711, 2.733019662, 0.441573524, 0.583075300,-0.784430792, 0.801957814, 1.374942710, 2.432323864
9-Octadecen-1-ol, 1.8781176496, 0.8603990893, 0.8107593007,-0.8317195454, 0.8688722280,-1.1980964316, 1.6161303280,-1.2000151914,-0.7165868294, 0.6612322877, 0.5641723661,-0.5897272078, 0.6591282812, 1.5472025166, 0.3066027430, 0.4269562283, 0.3642622799, 0.5266918992,-1.1966737049
9-Octadecenamide,-0.267236907, 0.541507702, 0.400593170,-0.234525456, 1.673244316,-0.353521962,-0.342882200,-0.393368056,-0.305403907,-0.701277903,-0.700023451,-0.394832179,-0.548191062,-0.329636863,-0.420463028, 0.004146077,-0.527729532,-0.575176441,-0.656788992
9-Octadecenenitrile,-0.17712440,-0.17834279,-0.17598618,-0.17695489,-0.17654014,-0.17851105,-0.17628523,-0.17935578,-0.17490789,-0.17626058, 9.71223452,-0.17259066,-0.17568521,-0.17663847,-0.17822625,-0.17765369,-0.17798418,-0.17738123,-0.17788469
9-Octadecenoic acid, 0.789903189,-0.377558419,-0.675184093,-0.103576212, 0.004929958,-0.738479908,-0.424717798,-0.215273810, 1.156204254, 0.137552743,-0.160065593, 0.386358699, 0.414346322, 0.028400732,-0.382299254,-0.195137587,-0.520100015, 0.117129061,-0.281916460
"Acetamide, N-(2-butyl)-N-methyl-", 0.990784654, 0.117762867,-0.382539059,-0.402009952, 0.311903218,-0.410483571,-0.046555940, 0.821621255, 0.380709790, 0.088208601, 0.202153692, 0.576683520, 0.240328983, 0.071745068,-0.094552067,-0.489288611, 0.145883926, 0.131238729, 0.189975089
"acetic acid, [(2-hydrloxyethyl)thio]-",-0.399562161,-0.399736893,-0.399398926,-0.399537851,-0.399478370,-0.399761023,-0.399441814,-0.205860671,-0.399244287,-0.399438278,-0.399281463,-0.398911966,-0.399355763,-0.399492472,-0.399720180,-0.399638068,-0.399685465,-0.399598993,-0.399671197
"Acetin, 1,3-dihydroxy",-0.373012782,-0.375143748,-0.371022030,-0.372716311,-0.371990901,-0.375438038,-0.371545073,-0.376915477,-0.369136101,-0.371501949,-0.369589491,-0.365083237,-0.370495629, 3.122152253, 3.865194364,-0.373938521,-0.374516552,-0.373461975,-0.374342543
Acetoacetic acid, 0.6791654280,-0.6618114489,-0.2155098853,-0.3152081826, 0.3750150758,-1.5057386875,-0.3993707328, 0.6631079714,-0.0095861174,-0.0365444488,-0.0252324971, 0.5744012192,-0.3232902892,-0.5749059566, 0.1991608629, 0.1777537128,-1.5038966353,-0.1646746135, 0.1310941575
Aconitic acid, 1.587459288, 0.673890718, 1.341959305,-0.889366595,-0.889263622,-0.889752947, 1.723243237, 0.463623530,-0.099285015,-0.889194215,-0.888922739, 0.018050994,-0.889051367, 0.644127841,-0.698741561,-0.889540089, 0.148085530, 0.281165607, 0.209544946
