Gene,ctx_direction,Metabolite,cpx_direction,VECPAC r,LPS r,DSS r,Pooled r,predicted_effect_sign,check_consistency,pooled_sign_agree,within-model correlation signs agree with the predicted correlation,pooled correlation signs agree with the predicted correlation,all_signs_agree
ENSMUSG00000021903-B,1.0,2-Aminoquinolin-8-ol,,,,,1.0,,True,True,False,False,False
ENSMUSG00000021903-B,1.0,"3,4-Dihydroxybenzaldehyde",,-1.0,,,-1.0,,True,True,False,False,False
ENSMUSG00000021903-B,1.0,cis-2-Decenoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000021903-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,,,1.0,,True,True,False,False,False
ENSMUSG00000021948-B,-1.0,"2,4-Dimethoxybenzaldoxime",,,,,1.0,,True,True,False,False,False
ENSMUSG00000021948-B,-1.0,2-Aminoquinolin-8-ol,,,,,1.0,,True,True,False,False,False
ENSMUSG00000021948-B,-1.0,cis-2-Decenoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000021948-B,-1.0,Isosorbide,,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000021948-B,-1.0,L-Val-L-Leu,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022132-B,-1.0,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1.0,0.5,-0.9856107606091624,-1.0,-0.8161133356141735,-1.0,False,False,True,False,False
ENSMUSG00000022132-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022132-B,-1.0,"13-Docosenamide, (Z)",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022132-B,-1.0,"3,3-Dimethylacrylic acid",,,,,1.0,,True,True,False,False,False
ENSMUSG00000022132-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-1.0,,,-1.0,,True,True,False,False,False
ENSMUSG00000022132-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022132-B,-1.0,Chlorobenzilate ,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022132-B,-1.0,L-(+)-Threose,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022132-B,-1.0,L-Ornithine,,,,,1.0,,True,True,False,False,False
ENSMUSG00000022132-B,-1.0,Octadecanoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022148-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,,1.0,,True,True,False,False,False
ENSMUSG00000022148-B,1.0,2-Aminoquinolin-8-ol,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022148-B,1.0,"4,5-Dihydro-1H-pyrazole",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022148-B,1.0,Chlorobenzilate ,,,,,1.0,,True,True,False,False,False
ENSMUSG00000022148-B,1.0,Isosorbide,,-1.0,,,-1.0,,True,True,False,False,False
ENSMUSG00000022148-B,1.0,L-(+)-Threose,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022148-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022148-B,1.0,Tyr-Val,,,,,1.0,,True,True,False,False,False
ENSMUSG00000022468-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,,,,1.0,,True,True,False,False,False
ENSMUSG00000022468-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022468-B,-1.0,2-Aminoquinolin-8-ol,,,,,1.0,,True,True,False,False,False
ENSMUSG00000022468-B,-1.0,2-Norbornanemethanol,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022468-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-1.0,,,-1.0,,True,True,False,False,False
ENSMUSG00000022468-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022468-B,-1.0,L-Val-L-Leu,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022505-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,,1.0,,True,True,False,False,False
ENSMUSG00000022505-B,1.0,"2,4,4'-Trihydroxybenzophenone",1.0,-0.5,-0.7714285714285715,-1.0,-0.8421104469870047,1.0,False,False,False,False,False
ENSMUSG00000022505-B,1.0,2-Aminoquinolin-8-ol,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022505-B,1.0,"3,4-Dihydroxybenzaldehyde",,-1.0,,,-1.0,,True,True,False,False,False
ENSMUSG00000022505-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,,,1.0,,True,True,False,False,False
ENSMUSG00000022505-B,1.0,L-(+)-Threose,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022505-B,1.0,L-Val-L-Leu,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022505-B,1.0,Tyr-Val,,,,,1.0,,True,True,False,False,False
ENSMUSG00000022505-B,1.0,Xylazine,1.0,-1.0,-0.7142857142857143,-1.0,-0.8260220258923994,1.0,False,False,False,False,False
ENSMUSG00000022674-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022674-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022674-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022674-B,-1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022674-B,-1.0,Glycine,-1.0,-1.0,-0.7826908981308054,-0.5,-0.8596544146325672,1.0,False,False,False,False,False
ENSMUSG00000022674-B,-1.0,Isosorbide,,-1.0,,,-1.0,,True,True,False,False,False
ENSMUSG00000022674-B,-1.0,L-Val-L-Leu,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022674-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022674-B,-1.0,Octadecanoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022718-B,1.0,"3,4-Dihydroxybenzaldehyde",,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000022718-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022718-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,,,,1.0,,True,True,False,False,False
ENSMUSG00000022718-B,1.0,L-Val-L-Leu,,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000022718-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000022718-B,1.0,Tyr-Val,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022765-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,,,,1.0,,True,True,False,False,False
ENSMUSG00000022765-B,-1.0,"13-Docosenamide, (Z)",,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000022765-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,,,1.0,,True,True,False,False,False
ENSMUSG00000022765-B,-1.0,cis-2-Decenoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022765-B,-1.0,Luciferin,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022789-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022789-B,-1.0,"3,4-Dihydroxybenzaldehyde",,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000022789-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022789-B,-1.0,4-Methylvaleric acid,,1.0,0.7,1.0,0.8909090909090911,,False,False,False,False,False
ENSMUSG00000022789-B,-1.0,cis-2-Decenoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022789-B,-1.0,L-Val-L-Leu,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022789-B,-1.0,Tyr-Val,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022790-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,,,,1.0,,True,True,False,False,False
ENSMUSG00000022790-B,-1.0,"13-Docosenamide, (Z)",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022790-B,-1.0,"3,4-Dihydroxybenzaldehyde",,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000022790-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022790-B,-1.0,Octadecanoic acid,,,,,1.0,,True,True,False,False,False
ENSMUSG00000022790-B,-1.0,Palmitic Acid,,1.0,1.0,,0.95,,False,False,False,False,False
ENSMUSG00000022855-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022855-B,1.0,"13-Docosenamide, (Z)",,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000022855-B,1.0,2-Aminoquinolin-8-ol,,,,,1.0,,True,True,False,False,False
ENSMUSG00000022855-B,1.0,2-Norbornanemethanol,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022855-B,1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022855-B,1.0,cis-2-Decenoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022855-B,1.0,Isosorbide,,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000022863-B,1.0,"2,4-Dimethoxybenzaldoxime",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022863-B,1.0,Isosorbide,,-1.0,,,-1.0,,True,True,False,False,False
ENSMUSG00000022863-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022876-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000022876-B,-1.0,2-Aminoquinolin-8-ol,,,,,1.0,,True,True,False,False,False
ENSMUSG00000022876-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-1.0,,,-1.0,,True,True,False,False,False
ENSMUSG00000022876-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022876-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000022876-B,-1.0,Octadecanoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000023186-B,1.0,"13-Docosenamide, (Z)",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000023186-B,1.0,"2,4-Dimethoxybenzaldoxime",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000023186-B,1.0,2-Aminoquinolin-8-ol,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000023186-B,1.0,"2-Cyclohexen-1-one, 3-methyl-",-1.0,-1.0,-0.7142857142857143,-0.5,-0.8161133356141735,-1.0,False,False,True,False,False
ENSMUSG00000023186-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000023186-B,1.0,Chlorobenzilate ,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000023186-B,1.0,cis-2-Decenoic acid,,,,,1.0,,True,True,False,False,False
ENSMUSG00000023186-B,1.0,Isosorbide,,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000023186-B,1.0,L-(+)-Threose,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000023186-B,1.0,Luciferin,,,,,1.0,,True,True,False,False,False
ENSMUSG00000023186-B,1.0,Octadecanoic acid,,,,,1.0,,True,True,False,False,False
ENSMUSG00000023707-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,,,,1.0,,True,True,False,False,False
ENSMUSG00000023707-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000023707-B,1.0,"13-Docosenamide, (Z)",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000023707-B,1.0,"2,4-Imidazolidinedione, 5,5-dimethyl",,1.0,0.8116794499134279,0.5,0.8736895887490173,,False,False,False,False,False
ENSMUSG00000023707-B,1.0,2-Norbornanemethanol,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000023707-B,1.0,"3,4-Dihydroxybenzaldehyde",,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000023707-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000023707-B,1.0,Diclofenac,,,,,1.0,,True,True,False,False,False
ENSMUSG00000023707-B,1.0,"Kojic acid, bis(tert-butyldimethylsilyl) ether",1.0,1.0,0.8285714285714287,0.5,0.8741258741258742,1.0,False,False,True,False,False
ENSMUSG00000023707-B,1.0,L-Serine,,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000023707-B,1.0,Octadecanoic acid,,,,,1.0,,True,True,False,False,False
ENSMUSG00000023707-B,1.0,Tyr-Val,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000023960-B,-1.0,"13-Docosenamide, (Z)",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000023960-B,-1.0,2-Aminoquinolin-8-ol,,,,,1.0,,True,True,False,False,False
ENSMUSG00000023960-B,-1.0,"3,4-Dihydroxybenzaldehyde",,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000023960-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000023960-B,-1.0,"4,5-Dihydro-1H-pyrazole",,,,,1.0,,True,True,False,False,False
ENSMUSG00000023960-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000023960-B,-1.0,L-(+)-Threose,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000023960-B,-1.0,Luciferin,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000023960-B,-1.0,Octacosanol,-1.0,,-0.7999999999999999,,-0.9549937104572924,1.0,False,False,False,False,False
ENSMUSG00000023960-B,-1.0,Sulindac,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000023960-B,-1.0,Tyr-Val,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000024140-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,,,,1.0,,True,True,False,False,False
ENSMUSG00000024140-B,-1.0,3-(4-Methoxyphenyl)coumarin,,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000024140-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-1.0,,,-1.0,,True,True,False,False,False
ENSMUSG00000024140-B,-1.0,Chlorobenzilate ,,,,,1.0,,True,True,False,False,False
ENSMUSG00000024140-B,-1.0,L-(+)-Threose,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000024164-B,1.0,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",1.0,1.0,0.8986451052612952,0.5,0.8359905377283482,1.0,False,False,True,False,False
ENSMUSG00000024164-B,1.0,"13-Docosenamide, (Z)",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000024164-B,1.0,"3,3-Dimethylacrylic acid",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000024164-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,,,1.0,,True,True,False,False,False
ENSMUSG00000024164-B,1.0,"4,5-Dihydro-1H-pyrazole",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000024172-B,-1.0,3-(4-Methoxyphenyl)coumarin,,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000024172-B,-1.0,cis-2-Decenoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000024172-B,-1.0,Glabridin,,,,,1.0,,True,True,False,False,False
ENSMUSG00000024172-B,-1.0,Isosorbide,,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000024172-B,-1.0,L-(+)-Threose,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000024172-B,-1.0,L-Val-L-Leu,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000024172-B,-1.0,Octadecanoic acid,,,,,1.0,,True,True,False,False,False
ENSMUSG00000024172-B,-1.0,Tyr-Val,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000024220-B,-1.0,1-Butanol,,,,,-0.9856107606091624,,True,False,False,False,False
ENSMUSG00000024220-B,-1.0,2-Norbornanemethanol,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000024220-B,-1.0,"Benzene, 1-ethyl-3,5-dimethyl",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000024220-B,-1.0,cis-2-Decenoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000024220-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000024325-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,,,,1.0,,True,True,False,False,False
ENSMUSG00000024325-B,1.0,"13-Docosenamide, (Z)",,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000024325-B,1.0,"2,4-Dimethoxybenzaldoxime",,,,,1.0,,True,True,False,False,False
ENSMUSG00000024325-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,,,,1.0,,True,True,False,False,False
ENSMUSG00000024325-B,1.0,Isosorbide,,-1.0,,,-1.0,,True,True,False,False,False
ENSMUSG00000024325-B,1.0,Luciferin,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000024500-B,-1.0,"3,4-Dihydroxybenzaldehyde",,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000024500-B,-1.0,cis-2-Decenoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000024500-B,-1.0,L-(+)-Threose,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000024500-B,-1.0,Tyr-Val,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000024570-B,-1.0,"13-Docosenamide, (Z)",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000024570-B,-1.0,"3,3-Dimethylacrylic acid",,,,,1.0,,True,True,False,False,False
ENSMUSG00000024570-B,-1.0,"4,5-Dihydro-1H-pyrazole",,,,,1.0,,True,True,False,False,False
ENSMUSG00000024570-B,-1.0,Isosorbide,,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000024570-B,-1.0,L-Val-L-Leu,,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000024570-B,-1.0,Tyr-Val,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000024576-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,,1.0,,True,True,False,False,False
ENSMUSG00000024576-B,1.0,"Benzoic acid, methyl ester",,-0.5,-0.8857142857142858,-1.0,-0.8181818181818183,,False,False,False,False,False
ENSMUSG00000024576-B,1.0,L-(+)-Threose,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000024620-B,-1.0,"13-Docosenamide, (Z)",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000024620-B,-1.0,2-Norbornanemethanol,,,,,1.0,,True,True,False,False,False
ENSMUSG00000024620-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-1.0,,,-1.0,,True,True,False,False,False
ENSMUSG00000024620-B,-1.0,8-Methylnonanoic acid,-1.0,-1.0,-0.8116794499134279,-1.0,-0.8421104469870047,1.0,False,False,False,False,False
ENSMUSG00000024620-B,-1.0,Lupinine,,,-1.0,,-0.9642857142857144,,False,False,False,False,False
ENSMUSG00000024620-B,-1.0,Tyr-Val,,,,,1.0,,True,True,False,False,False
ENSMUSG00000025134-B,-1.0,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-1.0,-1.0,-0.1118033988749894,-0.5,-0.862421616015649,1.0,False,False,False,False,False
ENSMUSG00000025134-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025134-B,-1.0,"2,4-Dimethoxybenzaldoxime",,,,,1.0,,True,True,False,False,False
ENSMUSG00000025134-B,-1.0,Chlorobenzilate ,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025134-B,-1.0,Diclofenac,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025134-B,-1.0,Isosorbide,,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000025134-B,-1.0,L-Val-L-Leu,,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000025134-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000025134-B,-1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000025340-B,1.0,2-Aminoquinolin-8-ol,,,,,1.0,,True,True,False,False,False
ENSMUSG00000025340-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025340-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,,,,1.0,,True,True,False,False,False
ENSMUSG00000025340-B,1.0,cis-2-Decenoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025340-B,1.0,Formamide,,-0.5,-0.9856107606091624,-1.0,-0.8476030024285035,,False,False,False,False,False
ENSMUSG00000025340-B,1.0,L-(+)-Threose,,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000025340-B,1.0,L-Val-L-Leu,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000025354-B,-1.0,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1.0,0.5,-0.9276336570439176,-1.0,-0.8616475560561659,-1.0,False,False,True,False,False
ENSMUSG00000025354-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025354-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-1.0,,,-1.0,,True,True,False,False,False
ENSMUSG00000025354-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000025354-B,-1.0,Chlorobenzilate ,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025354-B,-1.0,Iminodiacetic acid,1.0,-0.5,-0.8986451052612952,-0.5,-0.8315840663996671,-1.0,False,False,True,False,False
ENSMUSG00000025354-B,-1.0,L-(+)-Threose,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000025354-B,-1.0,L-Ornithine,,,,,1.0,,True,True,False,False,False
ENSMUSG00000025354-B,-1.0,Octadecanoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025355-B,1.0,"3,4-Dihydroxybenzaldehyde",,-1.0,,,-1.0,,True,True,False,False,False
ENSMUSG00000025355-B,1.0,cis-2-Decenoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025355-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000025372-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025372-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025372-B,1.0,"13-Docosenamide, (Z)",,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000025372-B,1.0,2-Norbornanemethanol,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025372-B,1.0,"3,4-Dihydroxybenzaldehyde",,1.0,,,1.0,,True,True,False,False,False
ENSMUSG00000025372-B,1.0,Phenol,-1.0,-1.0,-0.6,-1.0,-0.9339431975353206,-1.0,False,False,True,False,False
ENSMUSG00000025372-B,1.0,Tyr-Val,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025466-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,,,,1.0,,True,True,False,False,False
ENSMUSG00000025466-B,1.0,cis-2-Decenoic acid,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025466-B,1.0,L-(+)-Threose,,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000025466-B,1.0,Tyr-Val,,,,,1.0,,True,True,False,False,False
ENSMUSG00000025510-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025510-B,-1.0,2-Buten-1-ol,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025510-B,-1.0,2-Norbornanemethanol,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025510-B,-1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000025510-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000025510-B,-1.0,Octacosanol,-1.0,,-1.0,,-0.9910312089651148,1.0,False,False,False,False,False
ENSMUSG00000025732-B,1.0,3-(4-Methoxyphenyl)coumarin,,,-1.0,,-1.0,,True,True,False,False,False
ENSMUSG00000025732-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,,,1.0,,True,True,False,False,False
ENSMUSG00000025732-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,,,,1.0,,True,True,False,False,False
ENSMUSG00000025732-B,1.0,Chlorobenzilate ,,,,,-1.0,,True,True,False,False,False
ENSMUSG00000025732-B,1.0,L-(+)-Threose,,,1.0,,1.0,,True,True,False,False,False
ENSMUSG00000025732-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,,,1.0,,True,True,False,False,False
ENSMUSG00000025825-B,-1.0,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1.0,-0.5,-0.9276336570439176,-0.5,-0.8231186002975568,-1.0,False,False,True,False,False
