NAME,Feci_Vecpac-WT_3297REP_01032024,Feci_Vecpac-WT_3302_29022024,Feci_Vecpac-WT_3307_29022024,Feci_Vecpac-WT_3319_29022024,Feci_Vecpac-WT_3329_29022024,Feci_Vecpac-WT_3337_29022024,Feci_Vecpac-WT_3353_29022024,Feci_Vecpac-WT_3354_29022024,Feci_Vecpac-WT_3369_29022024,Feci_Vecpac-WT_3673_28022024,Feci_Vecpac-WT_3674_28022024,Feci_Vecpac-WT_3675_28022024,Feci_Vecpac-WT_3677_28022024,Feci_Vecpac-WT_3678_28022024,Feci_Vecpac-WT_3679_29022024,Feci_Vecpac-WT_3680_29022024,Feci_Vecpac-WT_3681_29022024,Feci_Vecpac-WT_3687_29022024,Feci_Vecpac-WT_3688_29022024
2'-Deoxyribolactone,2.5503480585556884e-06,5.148709247549425e-07,1.329476053784694e-06,2.013307005113874e-07,2.680847064643316e-06,3.392496773917764e-07,4.680031389540245e-07,2.680847064643316e-06,8.511103045165092e-07,1.329476053784694e-06,6.892096132425918e-07,1.128240951081323e-06,6.892096132425918e-07,2.013307005113874e-07,2.6851587212070423e-08,8.511103045165092e-07,,5.0163559609822535e-08,5.601311560210204e-07
2'-Desoxyuridine,2.6879062833220023e-05,6.497420543599718e-05,9.782871268536e-06,1.7188950981714575e-05,1.7188950981714575e-05,1.7062796515113937e-05,2.7185629606634103e-05,9.47162724769854e-06,1.0155997232356115e-05,8.789436112149386e-06,8.137232674350063e-06,8.52754837063112e-06,7.556100302843182e-06,1.8723461074844276e-05,1.825126257942127e-05,6.3342469606590835e-06,2.3629461226985454e-05,1.4147287377574098e-05,2.049905241642875e-05
2-Ethylacetoacetate,7.691870802174976e-06,6.979769416166107e-06,1.0487570078712236e-05,4.989975540120855e-06,1.572011312693568e-05,1.6558376670944696e-05,1.2615483742156777e-05,1.5855880502191168e-05,1.396174959971096e-05,1.3035304206314098e-05,1.0620821558699816e-05,7.130834026515903e-06,5.739971462712748e-06,1.1996853279076284e-05,7.353224287020933e-06,1.8723461074844276e-05,1.2480303729688104e-05,6.267353285256778e-06,6.4835340690195805e-06
2-Ethylhexanoic acid,9.258704550439152e-06,1.6558376670944696e-05,1.6670124926057917e-05,0.0001936990815429,8.60022333596996e-06,2.2545498786391935e-05,6.4835340690195805e-06,4.4736981628389446e-06,1.1532250407178815e-05,5.5036087935702295e-06,1.2265969563571955e-06,2.5503480585556884e-06,2.355667624442488e-06,1.6696406259132334e-06,1.5961405274729153e-07,1.4500776211059256e-06,7.5656840096351e-07,6.101294479028287e-06,6.906010842661122e-06
"2-Furanacetaldehyde, tetrahydro-alpha",,,,,,,,,,,,,,,,9.311484054051764e-06,1.0620821558699816e-05,1.4275578830208245e-05,1.5855880502191168e-05
2-Furoic acid,,,,,,,,,,,,,,,,,,,
2-Hydroxy-2-methylbutyric acid,1.0044812570532567e-05,4.418146983729302e-06,9.663234752463429e-06,,,1.693009845688965e-05,1.572011312693568e-05,9.575632659392894e-06,1.1760244376352708e-05,1.3466760060806866e-05,1.2414203855034256e-05,9.663234752463429e-06,7.307106905725083e-06,,,8.52754837063112e-06,1.572011312693568e-05,,
2-Hydroxy-3-methylbutyric acid,,4.285824892463443e-06,,2.0944208513152994e-05,,2.832062856085168e-05,,3.18522214976345e-05,,,2.7971670520343615e-05,7.996172237437584e-05,,,2.0666979472325727e-05,5.57539324073144e-06,1.6696406259132334e-06,,
2-Hydroxy-5-methoxybenzaldehyde,9.311484054051764e-06,9.521792448588312e-06,1.5472069966158023e-05,1.0913699317503476e-05,1.4444563084082658e-05,1.4063340123578813e-05,1.1760244376352708e-05,2.1841778363667705e-05,1.7188950981714575e-05,1.526312974151954e-05,1.4275578830208245e-05,1.630187471995777e-05,1.2536257033858527e-05,1.1040308477624518e-05,1.500034223834365e-05,1.979374274563558e-05,1.396174959971096e-05,1.396174959971096e-05,1.526312974151954e-05
2-Isopropyl-5-methyl-1-heptanol,4.060200940597134e-06,4.060200940597134e-06,6.906010842661122e-06,4.591718606998633e-06,2.4373025423558204e-06,4.157008035756903e-05,5.404488417593672e-06,1.0913699317503476e-05,1.4500776211059256e-06,7.053780821325238e-06,7.053780821325238e-06,9.97740278336511e-06,7.130834026515903e-06,5.0013878547349586e-05,2.9188931357302075e-06,1.329476053784694e-06,6.892096132425918e-07,5.739971462712748e-06,6.3342469606590835e-06
2-Ketobutyric acid,5.5536882704780605e-05,2.5058159326239772e-05,7.053780821325238e-06,6.838683640633865e-06,3.2541480802974324e-05,9.906362729385416e-06,2.6577301920419655e-05,5.2620193109722245e-05,4.345004654507616e-05,4.157008035756903e-05,3.773422781433982e-05,4.5543860543956285e-05,3.4796576262333415e-05,3.4796576262333415e-05,2.2306934121041924e-05,4.892517280039451e-06,3.123124662168535e-05,3.325545417503186e-05,3.4796576262333415e-05
2-Ketohexanoic acid,,,,,,,,,,,,,,,,,,,
"2-Methyl-4,6-dinitrophenol",,,,,,,1.4620042027486713e-05,,0.0001936990815429,,,,0.000356127239404,,,,,,
2-Octanol,,1.227050958596087e-05,,1.9986426685893328e-05,2.0300517555349247e-05,3.18522214976345e-05,,,,,,3.325545417503186e-05,,,,,,,
2-Palmitoylglycerol,,,,,5.061030294190105e-06,5.0013878547349586e-05,,,6.497420543599718e-05,,,6.029258748765645e-06,,,,,,,0.0001000827545384
"2-Pentenedioic acid, 2-hydroxy-",7.818997343889304e-06,9.782871268536e-06,2.2545498786391935e-05,1.4902948435702968e-05,4.591718606998633e-06,1.79827107792425e-05,2.008698486329516e-05,,3.392496773917764e-07,1.1996853279076284e-05,1.0487570078712236e-05,1.4558705444856754e-05,2.4523908347813537e-05,3.993510637437755e-06,1.2871502161561729e-05,1.579900772525557e-06,3.773422781433982e-05,2.304591577534761e-05,1.4692668790401846e-05
2-Pentenedioic acid,,3.708687676613752e-06,1.1760244376352708e-05,,,,,,,8.074625385414086e-06,,,,,,,2.5503480585556884e-06,,1.110920651427007e-05
2-Piperidinone,4.4736981628389446e-06,,3.5938707091906705e-06,1.0594866739571735e-06,4.786228592863906e-05,1.6696406259132334e-06,1.579900772525557e-06,5.251696931839343e-06,5.2620193109722245e-05,3.1616497607301085e-06,3.2548715103668688e-06,5.962390865157176e-06,3.1616497607301085e-06,,6.892096132425918e-07,5.739971462712748e-06,3.0433484155440252e-06,1.9950227610256658e-06,1.579900772525557e-06
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",8.480942778780368e-06,1.79827107792425e-05,5.805401985800017e-06,5.805401985800017e-06,1.4620042027486713e-05,3.838907268305318e-06,1.3466760060806866e-05,5.878732359027068e-06,3.838907268305318e-06,5.251696931839343e-06,9.521792448588312e-06,4.418146983729302e-06,8.52754837063112e-06,1.329476053784694e-06,1.4692668790401846e-05,5.061030294190105e-06,1.0953974500899492e-05,5.251696931839343e-06,
2-Pyrrolidinone,4.824168698834687e-06,1.3856208526654547e-05,1.0155997232356115e-05,1.396174959971096e-05,1.2480303729688104e-05,1.4692668790401846e-05,1.3278573689408084e-05,1.0487570078712236e-05,1.1040308477624518e-05,1.3770475305366092e-05,1.1413043010049007e-05,1.0572238813670336e-05,1.1040308477624518e-05,1.1612028479114978e-05,8.718730892190622e-06,1.572011312693568e-05,1.0487570078712236e-05,1.0326710833809038e-05,1.0728957563634708e-05
2-tert-Butyl-4-ethylphenol ,,,2.4839556875137356e-05,2.049905241642875e-05,8.843702351791274e-06,2.32416102774216e-05,1.110920651427007e-05,,,1.1476418585063051e-05,,,,9.663234752463429e-06,,8.480942778780368e-06,,1.0913699317503476e-05,1.2480303729688104e-05
3-(3-Hydroxyphenyl)propanoic acid,3.993510637437755e-06,4.345004654507616e-05,1.4500776211059256e-06,2.797508392698753e-07,0.0001000827545384,6.27408295725197e-07,1.329476053784694e-06,8.012154046405676e-06,2.414684762315199e-05,1.5242238489794084e-06,1.128240951081323e-06,1.0594866739571735e-06,,7.739159808239551e-06,3.167216100614398e-08,1.185895803842346e-05,2.013307005113874e-07,1.5961405274729153e-07,
"3,3,5-Trimethylcyclohexan-1-ol",,4.157008035756903e-05,,4.5543860543956285e-05,,,,,,,,,,,,,,,
"3,4,5-Trihydroxypentanoic acid",3.2548715103668688e-06,,1.128240951081323e-06,2.5503480585556884e-06,1.1996853279076284e-05,5.061030294190105e-06,8.137232674350063e-06,6.3799680352538855e-06,1.0262900891441453e-05,1.7062796515113937e-05,7.818997343889304e-06,7.307106905725083e-06,1.128240951081323e-06,4.667820533428246e-06,2.5503480585556884e-06,6.572915440251007e-06,3.32334173050494e-06,2.5503480585556884e-06,6.195719989485858e-06
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",5.0013878547349586e-05,1.0044812570532567e-05,1.2208818932674656e-05,1.1932006955256328e-05,9.521792448588312e-06,1.110920651427007e-05,9.18777604581322e-06,2.2545498786391935e-05,1.2871502161561729e-05,1.500034223834365e-05,1.7344629467056497e-05,1.7062796515113937e-05,8.273461006934159e-06,7.353224287020933e-06,1.0435167259978e-05,1.2768255496444658e-05,1.1612028479114978e-05,1.185895803842346e-05,8.137232674350063e-06
"3,4-Dihydroxy-5-methyl-dihydrofuran-2-one",,,,,,,,,,,,,,,,,,,
"3,4-Dimethoxymandelic acid",1.7344629467056497e-05,6.906010842661122e-06,,,1.309830459546029e-05,1.3770475305366092e-05,1.4147287377574098e-05,2.304591577534761e-05,1.8862619276440532e-05,1.5091424577953678e-05,1.7062796515113937e-05,1.5365543292194056e-05,1.5561833237917407e-05,1.2208818932674656e-05,8.074625385414086e-06,,,1.4902948435702968e-05,
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine",3.059419164787951e-05,1.4147287377574098e-05,4.285824892463443e-06,2.0300517555349247e-05,1.621220549397703e-05,1.8145783165286223e-05,1.4275578830208245e-05,2.3887850772886572e-05,2.1495977798260634e-05,9.47162724769854e-06,2.5503480585556884e-06,1.9986426685893328e-05,5.061030294190105e-06,5.739971462712748e-06,7.255294676253472e-06,1.0487570078712236e-05,1.5365543292194056e-05,1.4620042027486713e-05,7.307106905725083e-06
"3,5-Dimethylphenol",,,,,,,,,,,6.497420543599718e-05,,,,3.18522214976345e-05,,,,
3-Amino-2-piperidone,,1.2208818932674656e-05,3.0433484155440252e-06,3.708687676613752e-06,6.740618821722773e-06,5.5036087935702295e-06,3.451649398285719e-06,,1.0840204443001189e-05,1.0487570078712236e-05,8.511103045165092e-07,3.2548715103668688e-06,4.989975540120855e-06,1.4147287377574098e-05,1.329476053784694e-06,1.1532250407178815e-05,5.57539324073144e-06,1.2265969563571955e-06,5.153499881227712e-06
3-Aminoisobutyric acid,,,,,,,,,,,,,,,,,,,
3-Buten-2-one,,,,,,,5.2620193109722245e-05,,,,,0.0001000827545384,6.497420543599718e-05,,4.5543860543956285e-05,0.000356127239404,,,
3-Deoxyhexitol,7.482180808301214e-06,2.2328191271527273e-06,5.153499881227712e-06,2.355667624442488e-06,1.526312974151954e-05,,1.9950227610256658e-06,6.67648829467256e-06,3.993510637437755e-06,3.32334173050494e-06,3.32334173050494e-06,6.3799680352538855e-06,4.591718606998633e-06,2.9188931357302075e-06,3.451649398285719e-06,,,1.8729174152879864e-06,3.1616497607301085e-06
"3-Ethyl-3-methyl-pyrrolidine-2,5-dione",9.71201344212411e-06,1.8723461074844276e-05,,,2.3887850772886572e-05,,,3.059419164787951e-05,,,1.1347893720169177e-05,,1.8591246095945467e-05,2.0944208513152994e-05,1.0155997232356115e-05,2.0300517555349247e-05,1.3856208526654547e-05,,1.2208818932674656e-05
3-Hexenedioic acid,1.0435167259978e-05,1.4275578830208245e-05,1.825126257942127e-05,1.2208818932674656e-05,6.3342469606590835e-06,1.3035304206314098e-05,1.79827107792425e-05,2.6577301920419655e-05,1.2414203855034256e-05,2.0300517555349247e-05,2.32416102774216e-05,1.644556905298271e-05,1.6670124926057917e-05,9.521792448588312e-06,1.2208818932674656e-05,1.0778852401770285e-05,1.6670124926057917e-05,1.7467951015074844e-05,1.7062796515113937e-05
"3-Hydroxy-2,3-dihydromaltol",7.95241998232019e-06,1.2347078088056744e-05,1.2536257033858527e-05,3.2548715103668688e-06,0.0001936990815429,8.137232674350063e-06,6.3342469606590835e-06,6.740618821722773e-06,2.832062856085168e-05,5.805401985800017e-06,5.404488417593672e-06,4.285824892463443e-06,1.185895803842346e-05,7.900262314483305e-06,4.591718606998633e-06,1.8591246095945467e-05,7.900262314483305e-06,7.739159808239551e-06,1.3035304206314098e-05
3-Hydroxybutyric acid,1.4444563084082658e-05,8.911788780169537e-06,1.4363782053803332e-05,1.3035304206314098e-05,1.0388217036061962e-05,1.500034223834365e-05,1.0953974500899492e-05,,7.691870802174976e-06,1.630187471995777e-05,1.8591246095945467e-05,9.18777604581322e-06,8.60022333596996e-06,1.0620821558699816e-05,1.4444563084082658e-05,1.9986426685893328e-05,2.2306934121041924e-05,9.841198238582704e-06,2.2306934121041924e-05
3-Hydroxyisovaleric acid,1.5091424577953678e-05,8.227600277440442e-06,1.0044812570532567e-05,9.521792448588312e-06,1.0326710833809038e-05,9.521792448588312e-06,1.0620821558699816e-05,1.572011312693568e-05,1.3035304206314098e-05,1.0665728533051415e-05,1.6558376670944696e-05,2.2545498786391935e-05,1.296183527434534e-05,1.0572238813670336e-05,7.95241998232019e-06,1.3856208526654547e-05,9.258704550439152e-06,1.0620821558699816e-05,1.0913699317503476e-05
3-Methyl-2-furoic acid,5.652554360780266e-06,2.0300517555349247e-05,2.304591577534761e-05,1.7062796515113937e-05,2.832062856085168e-05,1.825126257942127e-05,1.979374274563558e-05,2.9259696673225892e-05,2.9897597847884973e-05,3.838907268305318e-06,3.0433484155440252e-06,,4.060200940597134e-06,2.7786100683678203e-06,3.2541480802974324e-05,4.157008035756903e-05,4.5543860543956285e-05,3.4796576262333415e-05,5.5536882704780605e-05
3-Methyl-2-oxovaleric acid,,,,,,,,,,,,,,,,,,,
3-Methylvaleric acid,,2.414684762315199e-05,,5.061030294190105e-06,2.7786100683678203e-06,,1.0665728533051415e-05,6.497420543599718e-05,,3.4796576262333415e-05,,5.0013878547349586e-05,4.012561288730162e-05,,2.832062856085168e-05,8.32966123896967e-06,5.805401985800017e-06,3.2541480802974324e-05,
3-O-methyl-beta-D-Glucopyranose,,4.012561288730162e-05,,,,7.112681932278526e-05,,,,0.0001936990815429,4.786228592863906e-05,,1.3674707895242087e-05,,,,5.940644450880551e-05,,
3-Oxo-1-cyclohexene-1-carboxylic acid ,,,,,,,0.0001936990815429,,,0.000356127239404,,,,,7.996172237437584e-05,,,,
"3-Pentenoic acid, 4-methyl",,,,,,,,,,,,,,,,,,,
3-Pyridylcarbinol,,4.989975540120855e-06,2.7185629606634103e-05,1.621220549397703e-05,1.0044812570532567e-05,1.4902948435702968e-05,8.718730892190622e-06,8.52754837063112e-06,7.411163384854275e-06,6.3342469606590835e-06,8.012154046405676e-06,1.0326710833809038e-05,6.572915440251007e-06,4.418146983729302e-06,8.32966123896967e-06,1.4818777915433826e-05,1.358575675930033e-05,7.198196903208721e-06,7.053780821325238e-06
3-hydroxypalmitic acid,,,3.18522214976345e-05,3.18522214976345e-05,,,,,,,,,,,,,5.601311560210204e-07,,
3-Undecene,1.16750228775351e-05,3.838907268305318e-06,6.3799680352538855e-06,4.667820533428246e-06,7.255294676253472e-06,5.739971462712748e-06,5.153499881227712e-06,1.0090781793674955e-05,9.906362729385416e-06,7.620728118776205e-06,8.273461006934159e-06,1.1532250407178815e-05,9.18777604581322e-06,7.255294676253472e-06,3.1616497607301085e-06,8.60022333596996e-06,5.878732359027068e-06,5.805401985800017e-06,7.691870802174976e-06
pyrazole,,2.5503480585556884e-06,1.2265969563571955e-06,,,,7.5656840096351e-07,,1.5242238489794084e-06,3.0433484155440252e-06,1.329476053784694e-06,,5.5036087935702295e-06,1.3146498870419254e-07,3.383981737578217e-12,3.0433484155440252e-06,6.27408295725197e-07,,
4-hydroxy-3-penten-2-one,,6.195719989485858e-06,,3.923185740776969e-05,1.9005123557686464e-05,3.923185740776969e-05,5.5036087935702295e-06,,1.7832546205416516e-05,2.9897597847884973e-05,3.18522214976345e-05,4.157008035756903e-05,9.906362729385416e-06,1.945039667301927e-05,2.284254472678872e-05,,8.664586869282965e-06,,2.9897597847884973e-05
4-Aminobenzoic acid,2.4839556875137356e-05,1.0665728533051415e-05,3.325545417503186e-05,3.059419164787951e-05,1.1612028479114978e-05,1.7344629467056497e-05,,,1.4444563084082658e-05,2.1495977798260634e-05,2.5058159326239772e-05,,1.4444563084082658e-05,5.652554360780266e-06,1.928136910916207e-05,,1.3035304206314098e-05,3.059419164787951e-05,3.923185740776969e-05
4-Coumaric acid,1.1413043010049007e-05,9.36547765043883e-06,8.664586869282965e-06,1.110920651427007e-05,6.67648829467256e-06,3.32334173050494e-06,7.818997343889304e-06,1.5967807379959314e-05,1.500034223834365e-05,1.0388217036061962e-05,1.227050958596087e-05,1.5172850763961797e-05,1.2697184393997278e-05,5.5536882704780605e-05,2.414684762315199e-05,7.482180808301214e-06,4.285824892463443e-06,1.0215618079267385e-05,1.4063340123578813e-05
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,2.0666979472325727e-05,1.959294730854357e-05,9.841198238582704e-06,5.878732359027068e-06,1.7062796515113937e-05,1.3190012123189894e-05,1.7832546205416516e-05,1.8591246095945467e-05,2.3887850772886572e-05,8.37997001251542e-06,7.900262314483305e-06,1.2078836338496938e-05,8.664586869282965e-06,1.1413043010049007e-05,8.273461006934159e-06,1.1760244376352708e-05,1.1040308477624518e-05,9.906362729385416e-06,1.2078836338496938e-05
4-Hydroxybenzaldehyde,1.0728957563634708e-05,2.4839556875137356e-05,1.4558705444856754e-05,1.215491651726108e-05,1.5561833237917407e-05,1.1413043010049007e-05,1.4818777915433826e-05,1.0840204443001189e-05,8.273461006934159e-06,1.0572238813670336e-05,1.2871502161561729e-05,9.311484054051764e-06,1.2078836338496938e-05,1.3355552836233331e-05,1.79827107792425e-05,1.4444563084082658e-05,1.4275578830208245e-05,1.2347078088056744e-05,1.4444563084082658e-05
4-Hydroxybenzeneacetic acid,8.074625385414086e-06,1.6054494792383944e-05,7.198196903208721e-06,6.979769416166107e-06,6.497420543599718e-05,3.708687676613752e-06,1.4063340123578813e-05,9.71201344212411e-06,2.7971670520343615e-05,3.451649398285719e-06,4.989975540120855e-06,6.101294479028287e-06,4.285824892463443e-06,2.1495977798260634e-05,1.4063340123578813e-05,1.7344629467056497e-05,7.691870802174976e-06,5.652554360780266e-06,8.843702351791274e-06
4-Hydroxybenzoic acid,1.2078836338496938e-05,2.7592097431907495e-05,1.1281872769247187e-05,1.500034223834365e-05,1.7344629467056497e-05,9.47162724769854e-06,1.4363782053803332e-05,1.0262900891441453e-05,5.878732359027068e-06,1.0262900891441453e-05,1.215491651726108e-05,7.255294676253472e-06,8.975405167154785e-06,7.411163384854275e-06,2.109789863352044e-05,7.95241998232019e-06,1.5561833237917407e-05,6.800195758152759e-06,1.3278573689408084e-05
4-Hydroxybutanoic acid,,1.1532250407178815e-05,2.008698486329516e-05,,,,,1.9005123557686464e-05,,,7.255294676253472e-06,0.000356127239404,,,,,,7.95241998232019e-06,1.4147287377574098e-05
4-Hydroxyphenyllactic acid,6.195719989485858e-06,,8.012154046405676e-06,3.1616497607301085e-06,2.1495977798260634e-05,1.579900772525557e-06,,7.818997343889304e-06,1.0728957563634708e-05,1.4818777915433826e-05,9.18777604581322e-06,2.160341828671319e-06,3.838907268305318e-06,6.979769416166107e-06,6.3342469606590835e-06,1.110920651427007e-05,9.36547765043883e-06,4.4736981628389446e-06,6.267353285256778e-06
4-Methoxyphenol,3.325545417503186e-05,,2.5475803733856748e-05,1.979374274563558e-05,1.4063340123578813e-05,2.284254472678872e-05,,1.7188950981714575e-05,1.4818777915433826e-05,2.5058159326239772e-05,,2.6879062833220023e-05,,,2.049905241642875e-05,1.945039667301927e-05,2.0944208513152994e-05,,
4-Methyl-5-thiazoleethanol,1.8591246095945467e-05,1.3770475305366092e-05,1.2347078088056744e-05,9.97740278336511e-06,1.2347078088056744e-05,7.255294676253472e-06,1.2414203855034256e-05,1.0778852401770285e-05,1.0435167259978e-05,1.2697184393997278e-05,1.396174959971096e-05,1.0262900891441453e-05,1.4275578830208245e-05,1.3674707895242087e-05,8.60022333596996e-06,1.0913699317503476e-05,1.0778852401770285e-05,1.0728957563634708e-05,6.3799680352538855e-06
4-Methylvaleric acid,1.621220549397703e-05,4.591718606998633e-06,1.0913699317503476e-05,7.691870802174976e-06,1.0620821558699816e-05,1.2697184393997278e-05,6.67648829467256e-06,1.2697184393997278e-05,8.789436112149386e-06,1.0215618079267385e-05,1.16750228775351e-05,8.975405167154785e-06,7.620728118776205e-06,7.620728118776205e-06,6.4835340690195805e-06,1.1932006955256328e-05,1.0572238813670336e-05,8.227600277440442e-06,7.95241998232019e-06
"4-Nonanone, 2,6,8-trimethyl",,,0.0001352344947285,,,1.9950227610256658e-06,,,,,,,,,,,,0.0001352344947285,
4-Pyridinol,6.800195758152759e-06,8.718730892190622e-06,1.8723461074844276e-05,1.3674707895242087e-05,9.18777604581322e-06,2.0300517555349247e-05,6.740618821722773e-06,2.008698486329516e-05,1.2208818932674656e-05,1.0953974500899492e-05,1.7467951015074844e-05,1.79827107792425e-05,1.1202664999138725e-05,6.195719989485858e-06,1.3770475305366092e-05,2.1291475120563603e-05,1.8383241545773224e-05,1.1347893720169177e-05,1.215491651726108e-05
4-Pyrimidinamine,,,,,,,,,1.128240951081323e-06,,5.805401985800017e-06,,,,,,,,
4-hydroxycyclohexylacetate,1.9950227610256658e-06,,8.911788780169537e-06,2.6879062833220023e-05,,2.109789863352044e-05,,,,,7.996172237437584e-05,,,,5.2620193109722245e-05,,,6.497420543599718e-05,0.0001352344947285
"5,10-Diethoxy-2,3,7,8-tetrahydro-1H,6H-dipyrrolo[1,2-a:1',2'-d]pyrazine",6.3799680352538855e-06,9.97740278336511e-06,2.3629461226985454e-05,2.414684762315199e-05,,5.5536882704780605e-05,8.843702351791274e-06,,,4.892517280039451e-06,,9.782871268536e-06,6.029258748765645e-06,,5.601311560210204e-07,4.4736981628389446e-06,9.11575565424583e-06,1.0155997232356115e-05,2.5503480585556884e-06
"5,8,11-Eicosatrienoic acid",2.109789863352044e-05,1.0155997232356115e-05,1.2697184393997278e-05,6.906010842661122e-06,1.0840204443001189e-05,9.663234752463429e-06,1.4558705444856754e-05,2.049905241642875e-05,1.6558376670944696e-05,1.825126257942127e-05,1.358575675930033e-05,1.4620042027486713e-05,1.215491651726108e-05,1.1202664999138725e-05,1.110920651427007e-05,1.0262900891441453e-05,1.0435167259978e-05,1.215491651726108e-05,
5alpha-Ergost-8(14)-ene,,,,,,,,,,,,,,,,,,,
5-Amino-1-pentanol,,,,,,,,,,,,,,,,,0.0001936990815429,,
5-Aminovaleric acid,4.667820533428246e-06,3.993510637437755e-06,,2.160341828671319e-06,2.6577301920419655e-05,1.2265969563571955e-06,2.355667624442488e-06,8.60022333596996e-06,4.5543860543956285e-05,7.691870802174976e-06,6.4835340690195805e-06,9.258704550439152e-06,9.97740278336511e-06,8.52754837063112e-06,1.0953974500899492e-05,9.71201344212411e-06,3.5938707091906705e-06,9.11575565424583e-06,4.418146983729302e-06
"5-Androsten-17alpha-methyl-3beta,17beta-diol",,,,,2.5503480585556884e-06,,,3.923185740776969e-05,1.2265969563571955e-06,,,,,,1.5967807379959314e-05,1.928136910916207e-05,9.663234752463429e-06,,
5-Henicosylresorcinol,,,,,,,,,,,,,,,,,,,
5-Hydroxy-2-methylpyridine,,7.5656840096351e-07,,6.27408295725197e-07,2.9188931357302075e-06,,,,,,,,,,2.8766346558657932e-08,,,,
5-Hydroxymethyl-2-furoic acid,,2.6879062833220023e-05,7.996172237437584e-05,,,3.4796576262333415e-05,6.497420543599718e-05,,1.1612028479114978e-05,,3.390145491397535e-05,,,,2.9897597847884973e-05,5.251696931839343e-06,5.5536882704780605e-05,3.576797677898148e-05,2.1291475120563603e-05
5-Methyluridine,2.414684762315199e-05,1.4363782053803332e-05,1.3278573689408084e-05,8.52754837063112e-06,4.060200940597134e-06,1.4363782053803332e-05,1.0913699317503476e-05,2.5503480585556884e-06,4.680031389540245e-07,1.5855880502191168e-05,3.2541480802974324e-05,8.60022333596996e-06,3.923185740776969e-05,8.480942778780368e-06,1.8383241545773224e-05,3.5938707091906705e-06,2.3887850772886572e-05,3.923185740776969e-05,3.576797677898148e-05
5-Oxohexanoic Acid,,,,,,1.5967807379959314e-05,,,,,,1.526312974151954e-05,1.7832546205416516e-05,,,,,,
5-hydroxy-n-valeric acid,,,,,,,,,,,,,,,,,,0.0001936990815429,
6-Hydroxyhexanoic acid,1.8723461074844276e-05,,,1.3190012123189894e-05,1.5967807379959314e-05,2.6577301920419655e-05,1.6054494792383944e-05,,1.1413043010049007e-05,1.5365543292194056e-05,2.414684762315199e-05,,1.979374274563558e-05,,1.1281872769247187e-05,,,,1.5091424577953678e-05
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",1.7062796515113937e-05,8.480942778780368e-06,1.2871502161561729e-05,1.0388217036061962e-05,1.0728957563634708e-05,6.906010842661122e-06,4.892517280039451e-06,1.4902948435702968e-05,1.185895803842346e-05,1.0044812570532567e-05,6.572915440251007e-06,1.0840204443001189e-05,1.0728957563634708e-05,1.1476418585063051e-05,2.7786100683678203e-06,1.1996853279076284e-05,5.061030294190105e-06,9.521792448588312e-06,9.782871268536e-06
8-Hydroxy-5-(hydroxymethyl)quinoline,8.664586869282965e-06,1.185895803842346e-05,7.818997343889304e-06,4.204972701868237e-06,5.940644450880551e-05,6.029258748765645e-06,1.227050958596087e-05,1.928136910916207e-05,4.157008035756903e-05,1.3190012123189894e-05,6.800195758152759e-06,2.680847064643316e-06,5.57539324073144e-06,1.500034223834365e-05,1.6054494792383944e-05,1.621220549397703e-05,2.2545498786391935e-05,4.824168698834687e-06,2.355667624442488e-06
8-Hydroxyquinoline-2-carbaldehyde,,,,,,,,,0.0001000827545384,3.576797677898148e-05,,,,,,,,,
"9,12-Octadecadienoic acid",,0.0001352344947285,,,,,1.2265969563571955e-06,,,,,,,,2.620340902249302e-05,,,,
9H-Purin-6-ol,5.962390865157176e-06,2.0666979472325727e-05,1.8729174152879864e-06,1.4500776211059256e-06,3.2548715103668688e-06,7.411163384854275e-06,2.3887850772886572e-05,3.2548715103668688e-06,1.579900772525557e-06,1.979374274563558e-05,2.0666979472325727e-05,9.906362729385416e-06,2.6577301920419655e-05,1.0388217036061962e-05,1.0778852401770285e-05,5.601311560210204e-07,1.2347078088056744e-05,1.8145783165286223e-05,2.414684762315199e-05
9-Octadecen-1-ol,9.97740278336511e-06,1.0728957563634708e-05,9.906362729385416e-06,1.329476053784694e-06,9.906362729385416e-06,,1.3856208526654547e-05,,1.8729174152879864e-06,9.782871268536e-06,8.843702351791274e-06,3.0433484155440252e-06,9.311484054051764e-06,1.6054494792383944e-05,7.307106905725083e-06,7.900262314483305e-06,7.482180808301214e-06,8.789436112149386e-06,
9-Octadecenamide,6.740618821722773e-06,1.8383241545773224e-05,1.7062796515113937e-05,7.198196903208721e-06,3.123124662168535e-05,5.652554360780266e-06,4.4736981628389446e-06,5.5036087935702295e-06,6.101294479028287e-06,,,4.4736981628389446e-06,2.680847064643316e-06,5.5036087935702295e-06,2.160341828671319e-06,9.97740278336511e-06,1.9950227610256658e-06,1.0594866739571735e-06,7.5656840096351e-07
9-Octadecenenitrile,,,,,,,,,,,0.000356127239404,,,,,,,,
