Node 1 ID,Node 1 Name,Node 1 Tissue,Node 2 ID,Node 2 Name,Node 2 Tissue,Node 1: Direction of Change,Node 2: Direction of Change,Total Sample Size,"Pooled/Avg. Correlation Coefficient, Spearman",FDR-Adjusted P-Value,"Pooled Correlation P-Value, Spearman",Meta-Analysis P-Value,"Correlation Coefficient, Spearman, VECPAC","Correlation P-Value, Spearman, VECPAC","Sample Size, VECPAC","Correlation Coefficient, Spearman, LPS","Correlation P-Value, Spearman, LPS","Sample Size, LPS","Correlation Coefficient, Spearman, DSS","Correlation P-Value, Spearman, DSS","Sample Size, DSS",Node 1: Degree,Node 1: Degree Percentile,Node 1: Feces-Degree (# Connected Nodes in Feces),Node 1: Feces-Degree Percentile,Node 1: Plasma-Degree (# Connected Nodes in Plasma),Node 1: Plasma-Degree Percentile,Node 1: Plexus-Degree (# Connected Nodes in Plexus),Node 1: Plexus-Degree Percentile,"Node 1: BiBC, Feces-Cortex, via Plasma","Node 1: BiBC, Feces-Cortex, via Plasma (%ile)","Node 1: BiBC, Feces-Cortex, via Plexus","Node 1: BiBC, Feces-Cortex, via Plexus (%ile)","Node 1: BiBC, Feces-Cortex, via Both","Node 1: BiBC, Feces-Cortex, via Both (%ile)","Node 1: BiBC, Feces-Striatum, via Plasma","Node 1: BiBC, Feces-Striatum, via Plasma (%ile)","Node 1: BiBC, Feces-Striatum, via Plexus","Node 1: BiBC, Feces-Striatum, via Plexus (%ile)","Node 1: BiBC, Feces-Striatum, via Both","Node 1: BiBC, Feces-Striatum, via Both (%ile)","Node 1: BiBC, Plasma-Plexus","Node 1: BiBC, Plasma-Plexus (%ile)","Node 1: BiBC, Plasma - Cortex","Node 1: BiBC Percentile, Plasma - Cortex","Node 1: BiBC, Plasma - Striatum","Node 1: BiBC Percentile, Plasma - Striatum","Node 1: BiBC, Choroid Plexus - Cortex","Node 1: BiBC Percentile, Choroid Plexus - Cortex","Node 1: BiBC, Choroid Plexus - Striatum","Node 1: BiBC Percentile, Choroid Plexus - Striatum","Node 1: BiBC, Choroid Plexus - Remaining Brain","Node 1: BiBC Percentile, Choroid Plexus - Remaining Brain","Node 1: BiBC, Choroid Plexus - Other Transcriptomics","Node 1: BiBC Percentile, Choroid Plexus - Other Transcriptomics",Node 1: Frustration,Node 1: Total # of Inputs,Node 1: # Inputs Indicating Up,Node 1: # Inputs Indicating Down,"Node 1: Median Abundance, VECPAC, CRE-","Node 1: Median Abundance, VECPAC, CRE+","Node 1: Median Abundance, LPS, CTRL","Node 1: Median Abundance, LPS, 2.5h","Node 1: Median Abundance, DSS, CTRL","Node 1: Median Abundance, DSS, T1",Node 1: Minimum Control Abundance,Node 1: Coefficient of Variation,Node 2: Degree,Node 2: Degree Percentile,Node 2: Feces-Degree (# Connected Nodes in Feces),Node 2: Feces-Degree Percentile,Node 2: Plasma-Degree (# Connected Nodes in Plasma),Node 2: Plasma-Degree Percentile,Node 2: Plexus-Degree (# Connected Nodes in Plexus),Node 2: Plexus-Degree Percentile,"Node 2: BiBC, Feces-Cortex, via Plasma","Node 2: BiBC, Feces-Cortex, via Plasma (%ile)","Node 2: BiBC, Feces-Cortex, via Plexus","Node 2: BiBC, Feces-Cortex, via Plexus (%ile)","Node 2: BiBC, Feces-Cortex, via Both","Node 2: BiBC, Feces-Cortex, via Both (%ile)","Node 2: BiBC, Feces-Striatum, via Plasma","Node 2: BiBC, Feces-Striatum, via Plasma (%ile)","Node 2: BiBC, Feces-Striatum, via Plexus","Node 2: BiBC, Feces-Striatum, via Plexus (%ile)","Node 2: BiBC, Feces-Striatum, via Both","Node 2: BiBC, Feces-Striatum, via Both (%ile)","Node 2: BiBC, Plasma-Plexus","Node 2: BiBC, Plasma-Plexus (%ile)","Node 2: BiBC, Plasma - Cortex","Node 2: BiBC Percentile, Plasma - Cortex","Node 2: BiBC, Plasma - Striatum","Node 2: BiBC Percentile, Plasma - Striatum","Node 2: BiBC, Choroid Plexus - Cortex","Node 2: BiBC Percentile, Choroid Plexus - Cortex","Node 2: BiBC, Choroid Plexus - Striatum","Node 2: BiBC Percentile, Choroid Plexus - Striatum","Node 2: BiBC, Choroid Plexus - Remaining Brain","Node 2: BiBC Percentile, Choroid Plexus - Remaining Brain","Node 2: BiBC, Choroid Plexus - Other Transcriptomics","Node 2: BiBC Percentile, Choroid Plexus - Other Transcriptomics",Node 2: Frustration,Node 2: Total # of Inputs,Node 2: # Inputs Indicating Up,Node 2: # Inputs Indicating Down,"Node 2: Median Abundance, VECPAC, CRE-","Node 2: Median Abundance, VECPAC, CRE+","Node 2: Median Abundance, LPS, CTRL","Node 2: Median Abundance, LPS, 2.5h","Node 2: Median Abundance, DSS, CTRL","Node 2: Median Abundance, DSS, T1",Node 2: Minimum Control Abundance,Node 2: Coefficient of Variation
117,Pycr2,Choroid Plexus,2105,AA986860,Striatum,Up,Down,,,,,,,,,,,,,,,26,89.9%,0,34.5%,2,80.0%,26,95.8%,1034.8,89.6%,1157.8,89.6%,939.3,90.0%,334.5,68.1%,977.7,86.1%,566.9,80.8%,1057.2,74.2%,1801.3,91.1%,863.8,77.3%,3554.1,95.8%,3496.4,96.3%,2840.6,98.5%,9891.1,97.1%,,,,,,,,,,,,,8,62.0%,0,34.5%,0,35.8%,7,84.7%,,,,,,,4.2,24.4%,153.5,43.2%,25.2,29.6%,,,,,25.2,28.6%,403.1,52.1%,377.7,48.3%,243.5,49.3%,1024.3,46.4%,,,,,,,,,,,,
117,Pycr2,Choroid Plexus,2162,Idnk,Striatum,Up,Up,,,,,,,,,,,,,,,26,89.9%,0,34.5%,2,80.0%,26,95.8%,1034.8,89.6%,1157.8,89.6%,939.3,90.0%,334.5,68.1%,977.7,86.1%,566.9,80.8%,1057.2,74.2%,1801.3,91.1%,863.8,77.3%,3554.1,95.8%,3496.4,96.3%,2840.6,98.5%,9891.1,97.1%,,,,,,,,,,,,,3,26.8%,0,34.5%,0,35.8%,3,69.5%,,,,,,,3.9,24.2%,0.9,17.0%,0.9,14.6%,,,,,19.9,27.6%,796.3,66.5%,782.6,65.8%,463.1,62.1%,2042.0,64.2%,,,,,,,,,,,,
118,Phf1,Choroid Plexus,163,Dynlt2b,Choroid Plexus,Up,Down,,,,,,,,,,,,,,,6,52.3%,1,73.2%,0,35.8%,6,82.4%,0.0,8.3%,72.7,37.5%,14.7,25.9%,563.4,77.9%,654.7,77.1%,358.8,70.1%,844.0,69.4%,0.0,8.7%,1100.2,81.6%,1609.6,83.7%,2215.6,89.6%,1127.2,84.8%,4952.4,87.0%,,,,,,,,,,,,,32,92.9%,13,96.1%,4,85.9%,32,96.6%,1075.3,90.1%,3700.6,99.4%,2115.8,98.3%,2249.8,97.1%,4491.3,99.6%,3137.3,99.1%,2451.1,91.6%,1247.7,84.5%,2406.1,93.4%,1855.4,86.1%,2017.1,88.0%,1752.1,93.3%,5624.6,90.1%,,,,,,,,,,,,
118,Phf1,Choroid Plexus,591,Klhl18,Choroid Plexus,Up,Up,,,,,,,,,,,,,,,6,52.3%,1,73.2%,0,35.8%,6,82.4%,0.0,8.3%,72.7,37.5%,14.7,25.9%,563.4,77.9%,654.7,77.1%,358.8,70.1%,844.0,69.4%,0.0,8.7%,1100.2,81.6%,1609.6,83.7%,2215.6,89.6%,1127.2,84.8%,4952.4,87.0%,,,,,,,,,,,,,7,57.8%,4,85.9%,0,35.8%,7,84.7%,0.0,8.3%,254.0,53.2%,168.6,54.7%,0.0,8.4%,292.4,54.5%,81.5,40.8%,422.0,50.0%,0.0,8.7%,0.0,8.9%,773.1,65.7%,699.0,61.4%,404.0,58.4%,1876.1,61.4%,,,,,,,,,,,,
118,Phf1,Choroid Plexus,1702,Slc36a1,Striatum,Up,Up,,,,,,,,,,,,,,,6,52.3%,1,73.2%,0,35.8%,6,82.4%,0.0,8.3%,72.7,37.5%,14.7,25.9%,563.4,77.9%,654.7,77.1%,358.8,70.1%,844.0,69.4%,0.0,8.7%,1100.2,81.6%,1609.6,83.7%,2215.6,89.6%,1127.2,84.8%,4952.4,87.0%,,,,,,,,,,,,,9,65.8%,0,34.5%,0,35.8%,8,86.7%,,,,,,,3593.5,98.8%,2505.6,97.6%,2216.1,98.3%,,,,,5820.2,99.2%,1737.2,84.9%,4184.0,97.7%,956.7,80.5%,6878.0,93.6%,,,,,,,,,,,,
118,Phf1,Choroid Plexus,1829,Zfp142,Striatum,Up,Down,,,,,,,,,,,,,,,6,52.3%,1,73.2%,0,35.8%,6,82.4%,0.0,8.3%,72.7,37.5%,14.7,25.9%,563.4,77.9%,654.7,77.1%,358.8,70.1%,844.0,69.4%,0.0,8.7%,1100.2,81.6%,1609.6,83.7%,2215.6,89.6%,1127.2,84.8%,4952.4,87.0%,,,,,,,,,,,,,4,37.2%,0,34.5%,0,35.8%,3,69.5%,,,,,,,341.9,68.5%,584.8,73.2%,314.1,66.9%,,,,,842.5,76.3%,732.3,62.7%,1262.4,78.1%,994.8,81.5%,2989.4,74.6%,,,,,,,,,,,,
118,Phf1,Choroid Plexus,2311,Gm20712,Striatum,Up,Up,,,,,,,,,,,,,,,6,52.3%,1,73.2%,0,35.8%,6,82.4%,0.0,8.3%,72.7,37.5%,14.7,25.9%,563.4,77.9%,654.7,77.1%,358.8,70.1%,844.0,69.4%,0.0,8.7%,1100.2,81.6%,1609.6,83.7%,2215.6,89.6%,1127.2,84.8%,4952.4,87.0%,,,,,,,,,,,,,15,79.1%,0,34.5%,0,35.8%,13,91.8%,,,,,,,1316.2,92.1%,1542.7,93.6%,1155.3,93.4%,,,,,2252.1,93.1%,2417.6,91.2%,2909.4,94.2%,1912.4,94.3%,7239.4,94.1%,,,,,,,,,,,,
119,Gm12346,Choroid Plexus,426,Suclg2,Choroid Plexus,Up,Down,,,,,,,,,,,,,,,4,37.2%,0,34.5%,0,35.8%,4,75.3%,733.7,84.6%,568.4,72.4%,493.8,77.9%,83.4,45.6%,620.3,75.5%,158.9,51.7%,157.9,37.2%,1031.3,80.7%,324.4,53.5%,476.7,54.8%,407.5,49.6%,104.1,37.2%,988.3,45.6%,,,,,,,,,,,,,16,80.3%,5,87.9%,0,35.8%,16,93.4%,600.5,80.6%,3132.4,99.1%,2313.1,98.9%,6.1,26.3%,1640.5,94.3%,567.6,81.0%,111.6,33.9%,1374.4,86.5%,103.8,39.0%,3410.6,95.4%,1665.2,84.4%,1183.7,85.8%,6259.4,92.2%,,,,,,,,,,,,
119,Gm12346,Choroid Plexus,649,Gmppa,Choroid Plexus,Up,Down,,,,,,,,,,,,,,,4,37.2%,0,34.5%,0,35.8%,4,75.3%,733.7,84.6%,568.4,72.4%,493.8,77.9%,83.4,45.6%,620.3,75.5%,158.9,51.7%,157.9,37.2%,1031.3,80.7%,324.4,53.5%,476.7,54.8%,407.5,49.6%,104.1,37.2%,988.3,45.6%,,,,,,,,,,,,,5,45.3%,0,34.5%,1,74.8%,5,79.3%,232.2,59.7%,64.5,36.5%,64.5,40.3%,590.9,79.3%,598.0,73.8%,600.0,82.2%,7.2,20.1%,367.5,57.5%,872.1,77.7%,303.0,47.4%,480.1,52.4%,97.8,36.4%,881.0,43.0%,,,,,,,,,,,,
119,Gm12346,Choroid Plexus,724,Rpp30,Choroid Plexus,Up,Down,,,,,,,,,,,,,,,4,37.2%,0,34.5%,0,35.8%,4,75.3%,733.7,84.6%,568.4,72.4%,493.8,77.9%,83.4,45.6%,620.3,75.5%,158.9,51.7%,157.9,37.2%,1031.3,80.7%,324.4,53.5%,476.7,54.8%,407.5,49.6%,104.1,37.2%,988.3,45.6%,,,,,,,,,,,,,21,85.9%,4,85.9%,11,93.0%,21,94.6%,1036.4,89.7%,582.7,73.2%,723.7,85.5%,10688.8,99.9%,1756.2,95.1%,3631.2,99.5%,956.2,71.9%,1485.0,87.6%,16729.4,99.9%,895.5,70.1%,3739.4,96.9%,650.2,69.8%,5285.1,88.5%,,,,,,,,,,,,
119,Gm12346,Choroid Plexus,1267,Pcdhb19,Cortex,Up,Down,,,,,,,,,,,,,,,4,37.2%,0,34.5%,0,35.8%,4,75.3%,733.7,84.6%,568.4,72.4%,493.8,77.9%,83.4,45.6%,620.3,75.5%,158.9,51.7%,157.9,37.2%,1031.3,80.7%,324.4,53.5%,476.7,54.8%,407.5,49.6%,104.1,37.2%,988.3,45.6%,,,,,,,,,,,,,2,15.0%,0,34.5%,0,35.8%,1,43.4%,394.5,72.5%,253.8,53.1%,188.8,56.2%,,,,,,,,,521.2,67.2%,,,45.2,25.7%,55.8,26.2%,13.1,20.4%,114.1,18.8%,,,,,,,,,,,,
120,Mrpl17,Choroid Plexus,200,Ddb1,Choroid Plexus,Up,Up,,,,,,,,,,,,,,,11,72.1%,0,34.5%,1,74.8%,11,90.4%,27.4,35.5%,17.4,25.5%,14.8,26.0%,69.1,43.4%,69.7,34.6%,60.0,36.9%,558.7,58.2%,83.0,38.3%,146.3,42.8%,694.1,61.5%,865.6,68.3%,1293.9,88.0%,2853.6,73.6%,,,,,,,,,,,,,23,87.7%,0,34.5%,1,74.8%,23,95.2%,485.4,76.2%,374.3,64.1%,377.3,72.8%,592.0,79.3%,332.9,60.5%,367.0,70.7%,599.9,59.8%,612.1,70.2%,959.0,79.1%,1975.3,87.6%,2366.8,90.9%,1230.0,86.9%,5572.1,89.7%,,,,,,,,,,,,
120,Mrpl17,Choroid Plexus,422,Zfp768,Choroid Plexus,Up,Up,,,,,,,,,,,,,,,11,72.1%,0,34.5%,1,74.8%,11,90.4%,27.4,35.5%,17.4,25.5%,14.8,26.0%,69.1,43.4%,69.7,34.6%,60.0,36.9%,558.7,58.2%,83.0,38.3%,146.3,42.8%,694.1,61.5%,865.6,68.3%,1293.9,88.0%,2853.6,73.6%,,,,,,,,,,,,,15,79.1%,0,34.5%,0,35.8%,15,92.8%,209.1,58.3%,318.5,60.8%,224.5,60.2%,743.4,83.9%,968.0,85.7%,769.5,87.6%,126.7,34.7%,261.2,52.4%,1073.5,81.3%,1183.7,77.1%,2542.3,92.4%,1567.4,91.7%,5293.3,88.5%,,,,,,,,,,,,
120,Mrpl17,Choroid Plexus,454,Atp5me,Choroid Plexus,Up,Up,,,,,,,,,,,,,,,11,72.1%,0,34.5%,1,74.8%,11,90.4%,27.4,35.5%,17.4,25.5%,14.8,26.0%,69.1,43.4%,69.7,34.6%,60.0,36.9%,558.7,58.2%,83.0,38.3%,146.3,42.8%,694.1,61.5%,865.6,68.3%,1293.9,88.0%,2853.6,73.6%,,,,,,,,,,,,,15,79.1%,0,34.5%,0,35.8%,15,92.8%,10.2,29.3%,112.6,41.3%,19.6,28.4%,446.9,73.5%,514.2,70.2%,378.8,72.0%,304.8,45.2%,56.7,35.3%,584.8,67.3%,689.4,61.4%,1562.4,83.0%,544.9,65.8%,2796.7,72.9%,,,,,,,,,,,,
120,Mrpl17,Choroid Plexus,513,Jph1,Choroid Plexus,Up,Down,,,,,,,,,,,,,,,11,72.1%,0,34.5%,1,74.8%,11,90.4%,27.4,35.5%,17.4,25.5%,14.8,26.0%,69.1,43.4%,69.7,34.6%,60.0,36.9%,558.7,58.2%,83.0,38.3%,146.3,42.8%,694.1,61.5%,865.6,68.3%,1293.9,88.0%,2853.6,73.6%,,,,,,,,,,,,,14,77.8%,2,79.6%,1,74.8%,14,92.3%,36.2,38.1%,165.1,45.6%,98.7,45.2%,101.3,47.0%,349.6,61.5%,226.5,58.2%,536.7,56.9%,76.1,37.6%,213.0,48.4%,667.9,60.8%,1065.0,73.8%,816.1,77.0%,2549.0,70.4%,,,,,,,,,,,,
120,Mrpl17,Choroid Plexus,675,Tmem184c,Choroid Plexus,Up,Down,,,,,,,,,,,,,,,11,72.1%,0,34.5%,1,74.8%,11,90.4%,27.4,35.5%,17.4,25.5%,14.8,26.0%,69.1,43.4%,69.7,34.6%,60.0,36.9%,558.7,58.2%,83.0,38.3%,146.3,42.8%,694.1,61.5%,865.6,68.3%,1293.9,88.0%,2853.6,73.6%,,,,,,,,,,,,,17,81.5%,0,34.5%,5,87.6%,17,93.8%,387.3,72.0%,454.1,68.6%,181.7,55.6%,151.8,52.8%,474.8,68.2%,82.1,41.0%,521.2,56.4%,661.5,72.2%,326.7,53.6%,1998.8,87.9%,1803.7,86.0%,889.2,79.1%,4691.6,85.7%,,,,,,,,,,,,
120,Mrpl17,Choroid Plexus,730,Iba57,Choroid Plexus,Up,Up,,,,,,,,,,,,,,,11,72.1%,0,34.5%,1,74.8%,11,90.4%,27.4,35.5%,17.4,25.5%,14.8,26.0%,69.1,43.4%,69.7,34.6%,60.0,36.9%,558.7,58.2%,83.0,38.3%,146.3,42.8%,694.1,61.5%,865.6,68.3%,1293.9,88.0%,2853.6,73.6%,,,,,,,,,,,,,3,26.8%,0,34.5%,1,74.8%,3,69.5%,17.3,32.5%,0.0,7.7%,5.3,20.6%,118.1,49.4%,31.5,29.0%,54.8,36.0%,75.2,30.5%,56.0,35.2%,149.2,43.3%,23.8,22.0%,107.6,32.4%,28.5,24.9%,160.0,21.3%,,,,,,,,,,,,
120,Mrpl17,Choroid Plexus,791,Acbd4,Choroid Plexus,Up,Up,,,,,,,,,,,,,,,11,72.1%,0,34.5%,1,74.8%,11,90.4%,27.4,35.5%,17.4,25.5%,14.8,26.0%,69.1,43.4%,69.7,34.6%,60.0,36.9%,558.7,58.2%,83.0,38.3%,146.3,42.8%,694.1,61.5%,865.6,68.3%,1293.9,88.0%,2853.6,73.6%,,,,,,,,,,,,,12,74.5%,0,34.5%,0,35.8%,12,91.2%,132.6,52.9%,359.1,63.3%,200.6,57.6%,113.3,48.9%,233.3,50.8%,151.2,50.8%,1552.3,82.6%,907.2,78.4%,892.5,78.0%,1885.0,86.5%,1982.2,87.8%,973.4,80.9%,4840.6,86.4%,,,,,,,,,,,,
120,Mrpl17,Choroid Plexus,2428,Ankra2,Remaining Brain,Up,Up,,,,,,,,,,,,,,,11,72.1%,0,34.5%,1,74.8%,11,90.4%,27.4,35.5%,17.4,25.5%,14.8,26.0%,69.1,43.4%,69.7,34.6%,60.0,36.9%,558.7,58.2%,83.0,38.3%,146.3,42.8%,694.1,61.5%,865.6,68.3%,1293.9,88.0%,2853.6,73.6%,,,,,,,,,,,,,3,26.8%,0,34.5%,0,35.8%,2,60.1%,,,,,,,,,,,,,,,,,,,481.1,55.1%,293.1,44.3%,654.9,69.9%,1429.1,53.3%,,,,,,,,,,,,
120,Mrpl17,Choroid Plexus,2622,Ttll6,Remaining Brain,Up,Up,,,,,,,,,,,,,,,11,72.1%,0,34.5%,1,74.8%,11,90.4%,27.4,35.5%,17.4,25.5%,14.8,26.0%,69.1,43.4%,69.7,34.6%,60.0,36.9%,558.7,58.2%,83.0,38.3%,146.3,42.8%,694.1,61.5%,865.6,68.3%,1293.9,88.0%,2853.6,73.6%,,,,,,,,,,,,,2,15.0%,0,34.5%,0,35.8%,2,60.1%,,,,,,,,,,,,,,,,,,,50.4,26.4%,141.7,35.2%,140.6,40.8%,332.7,28.0%,,,,,,,,,,,,
121,Cast,Choroid Plexus,129,Nfe2l2,Choroid Plexus,Down,Down,,,,,,,,,,,,,,,9,65.8%,2,79.6%,1,74.8%,9,88.3%,185.1,56.6%,197.9,48.5%,214.4,59.0%,491.2,75.9%,584.5,73.1%,552.3,80.2%,577.9,58.8%,171.8,46.0%,489.8,63.7%,497.7,55.8%,851.4,67.9%,364.0,56.1%,1713.0,58.4%,,,,,,,,,,,,,13,76.3%,3,83.3%,2,80.0%,13,91.8%,200.8,57.5%,573.7,72.8%,460.6,76.9%,40.2,38.4%,258.4,52.5%,120.0,46.6%,487.0,55.2%,786.2,75.1%,333.9,54.1%,1026.9,73.3%,641.3,58.8%,1481.0,90.5%,3149.3,76.3%,,,,,,,,,,,,
121,Cast,Choroid Plexus,362,5730455P16Rik,Choroid Plexus,Down,Down,,,,,,,,,,,,,,,9,65.8%,2,79.6%,1,74.8%,9,88.3%,185.1,56.6%,197.9,48.5%,214.4,59.0%,491.2,75.9%,584.5,73.1%,552.3,80.2%,577.9,58.8%,171.8,46.0%,489.8,63.7%,497.7,55.8%,851.4,67.9%,364.0,56.1%,1713.0,58.4%,,,,,,,,,,,,,8,62.0%,0,34.5%,0,35.8%,8,86.7%,12.2,30.0%,10.2,22.7%,2.7,18.2%,301.5,65.7%,307.8,58.3%,284.7,62.5%,190.2,39.4%,14.5,26.9%,447.8,62.3%,279.1,46.1%,732.9,63.3%,207.5,47.0%,1219.5,49.7%,,,,,,,,,,,,
121,Cast,Choroid Plexus,368,Zhx1,Choroid Plexus,Down,Down,,,,,,,,,,,,,,,9,65.8%,2,79.6%,1,74.8%,9,88.3%,185.1,56.6%,197.9,48.5%,214.4,59.0%,491.2,75.9%,584.5,73.1%,552.3,80.2%,577.9,58.8%,171.8,46.0%,489.8,63.7%,497.7,55.8%,851.4,67.9%,364.0,56.1%,1713.0,58.4%,,,,,,,,,,,,,11,72.1%,4,85.9%,0,35.8%,11,90.4%,84.6,47.0%,872.1,83.3%,336.1,70.4%,70.0,43.7%,736.6,80.1%,368.4,70.8%,72.8,30.4%,101.1,40.7%,92.4,37.8%,409.9,52.3%,463.3,51.7%,544.0,65.8%,1417.2,53.1%,,,,,,,,,,,,
121,Cast,Choroid Plexus,1326,Fbxl22,Cortex,Down,Down,,,,,,,,,,,,,,,9,65.8%,2,79.6%,1,74.8%,9,88.3%,185.1,56.6%,197.9,48.5%,214.4,59.0%,491.2,75.9%,584.5,73.1%,552.3,80.2%,577.9,58.8%,171.8,46.0%,489.8,63.7%,497.7,55.8%,851.4,67.9%,364.0,56.1%,1713.0,58.4%,,,,,,,,,,,,,8,62.0%,0,34.5%,0,35.8%,2,60.1%,296.6,65.6%,296.9,59.0%,299.2,67.1%,,,,,,,,,426.0,61.7%,,,941.6,71.2%,2621.6,93.0%,540.4,65.6%,4103.6,82.9%,,,,,,,,,,,,
121,Cast,Choroid Plexus,2014,Ndufa13,Striatum,Down,Up,,,,,,,,,,,,,,,9,65.8%,2,79.6%,1,74.8%,9,88.3%,185.1,56.6%,197.9,48.5%,214.4,59.0%,491.2,75.9%,584.5,73.1%,552.3,80.2%,577.9,58.8%,171.8,46.0%,489.8,63.7%,497.7,55.8%,851.4,67.9%,364.0,56.1%,1713.0,58.4%,,,,,,,,,,,,,7,57.8%,0,34.5%,0,35.8%,1,43.4%,,,,,,,203.8,56.3%,288.4,54.3%,239.2,59.2%,,,,,190.6,46.6%,365.8,50.4%,565.9,56.1%,198.0,46.1%,1129.6,48.4%,,,,,,,,,,,,
122,Lpgat1,Choroid Plexus,200,Ddb1,Choroid Plexus,Down,Up,,,,,,,,,,,,,,,19,84.0%,1,73.2%,6,88.9%,19,94.2%,540.5,77.8%,137.8,43.8%,200.4,57.4%,686.4,81.8%,110.9,39.3%,174.2,53.6%,1474.9,81.9%,562.6,68.5%,795.4,74.9%,126.6,35.6%,115.7,33.2%,55.0,30.7%,297.3,26.7%,,,,,,,,,,,,,23,87.7%,0,34.5%,1,74.8%,23,95.2%,485.4,76.2%,374.3,64.1%,377.3,72.8%,592.0,79.3%,332.9,60.5%,367.0,70.7%,599.9,59.8%,612.1,70.2%,959.0,79.1%,1975.3,87.6%,2366.8,90.9%,1230.0,86.9%,5572.1,89.7%,,,,,,,,,,,,
122,Lpgat1,Choroid Plexus,430,Guk1,Choroid Plexus,Down,Up,,,,,,,,,,,,,,,19,84.0%,1,73.2%,6,88.9%,19,94.2%,540.5,77.8%,137.8,43.8%,200.4,57.4%,686.4,81.8%,110.9,39.3%,174.2,53.6%,1474.9,81.9%,562.6,68.5%,795.4,74.9%,126.6,35.6%,115.7,33.2%,55.0,30.7%,297.3,26.7%,,,,,,,,,,,,,11,72.1%,0,34.5%,0,35.8%,11,90.4%,40.7,39.0%,28.4,29.0%,23.7,30.1%,9.6,27.9%,21.4,26.4%,10.8,24.2%,443.5,52.7%,81.0,38.1%,39.5,32.0%,544.3,57.1%,527.6,54.3%,453.4,61.8%,1525.3,55.0%,,,,,,,,,,,,
122,Lpgat1,Choroid Plexus,436,Rpl37,Choroid Plexus,Down,Up,,,,,,,,,,,,,,,19,84.0%,1,73.2%,6,88.9%,19,94.2%,540.5,77.8%,137.8,43.8%,200.4,57.4%,686.4,81.8%,110.9,39.3%,174.2,53.6%,1474.9,81.9%,562.6,68.5%,795.4,74.9%,126.6,35.6%,115.7,33.2%,55.0,30.7%,297.3,26.7%,,,,,,,,,,,,,21,85.9%,0,34.5%,1,74.8%,21,94.6%,131.2,52.7%,433.1,67.9%,149.9,52.3%,216.8,57.2%,459.3,67.3%,297.3,63.4%,367.0,47.3%,268.5,52.8%,366.1,55.3%,1828.7,85.7%,2044.2,88.3%,802.4,76.2%,4675.3,85.6%,,,,,,,,,,,,
122,Lpgat1,Choroid Plexus,454,Atp5me,Choroid Plexus,Down,Up,,,,,,,,,,,,,,,19,84.0%,1,73.2%,6,88.9%,19,94.2%,540.5,77.8%,137.8,43.8%,200.4,57.4%,686.4,81.8%,110.9,39.3%,174.2,53.6%,1474.9,81.9%,562.6,68.5%,795.4,74.9%,126.6,35.6%,115.7,33.2%,55.0,30.7%,297.3,26.7%,,,,,,,,,,,,,15,79.1%,0,34.5%,0,35.8%,15,92.8%,10.2,29.3%,112.6,41.3%,19.6,28.4%,446.9,73.5%,514.2,70.2%,378.8,72.0%,304.8,45.2%,56.7,35.3%,584.8,67.3%,689.4,61.4%,1562.4,83.0%,544.9,65.8%,2796.7,72.9%,,,,,,,,,,,,
122,Lpgat1,Choroid Plexus,513,Jph1,Choroid Plexus,Down,Down,,,,,,,,,,,,,,,19,84.0%,1,73.2%,6,88.9%,19,94.2%,540.5,77.8%,137.8,43.8%,200.4,57.4%,686.4,81.8%,110.9,39.3%,174.2,53.6%,1474.9,81.9%,562.6,68.5%,795.4,74.9%,126.6,35.6%,115.7,33.2%,55.0,30.7%,297.3,26.7%,,,,,,,,,,,,,14,77.8%,2,79.6%,1,74.8%,14,92.3%,36.2,38.1%,165.1,45.6%,98.7,45.2%,101.3,47.0%,349.6,61.5%,226.5,58.2%,536.7,56.9%,76.1,37.6%,213.0,48.4%,667.9,60.8%,1065.0,73.8%,816.1,77.0%,2549.0,70.4%,,,,,,,,,,,,
122,Lpgat1,Choroid Plexus,675,Tmem184c,Choroid Plexus,Down,Down,,,,,,,,,,,,,,,19,84.0%,1,73.2%,6,88.9%,19,94.2%,540.5,77.8%,137.8,43.8%,200.4,57.4%,686.4,81.8%,110.9,39.3%,174.2,53.6%,1474.9,81.9%,562.6,68.5%,795.4,74.9%,126.6,35.6%,115.7,33.2%,55.0,30.7%,297.3,26.7%,,,,,,,,,,,,,17,81.5%,0,34.5%,5,87.6%,17,93.8%,387.3,72.0%,454.1,68.6%,181.7,55.6%,151.8,52.8%,474.8,68.2%,82.1,41.0%,521.2,56.4%,661.5,72.2%,326.7,53.6%,1998.8,87.9%,1803.7,86.0%,889.2,79.1%,4691.6,85.7%,,,,,,,,,,,,
122,Lpgat1,Choroid Plexus,679,Rad54l2,Choroid Plexus,Down,Down,,,,,,,,,,,,,,,19,84.0%,1,73.2%,6,88.9%,19,94.2%,540.5,77.8%,137.8,43.8%,200.4,57.4%,686.4,81.8%,110.9,39.3%,174.2,53.6%,1474.9,81.9%,562.6,68.5%,795.4,74.9%,126.6,35.6%,115.7,33.2%,55.0,30.7%,297.3,26.7%,,,,,,,,,,,,,29,91.8%,0,34.5%,16,94.9%,29,96.3%,557.8,78.6%,50.7,33.4%,152.1,52.7%,486.8,75.6%,38.7,30.3%,135.7,48.9%,1783.0,85.8%,782.8,74.9%,826.2,75.8%,480.3,55.0%,498.3,53.2%,194.7,45.8%,1173.2,49.1%,,,,,,,,,,,,
