,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,pls_116_12012022,pls_118_a_12012022,pls_119_13012022,pls_89_14012022,pls_120_13012022,pls_88_13012022,pls_129_12012022,pls_127_a_12012022,pls_70_a_12012022,pls_97_13012022,pls_123_13012022,pls_96a_14012022,pls_128_rep_14012022,pls_126_14012022,pls_124_14012022,pls_125_13012022,LPS934_150124,LPS935_150124,LPS936_150124,LPS939_150124,LPS940_150124,LPS941_150124,LPS942_150124,LPS944_160124,LPS945_160124,LPS946_160124,LPS947_160124,LPS948_160124,LPS949_160124,LPS950_160124,LPS951_160124,LPS952_160124,LPS953_160124,LPS955_160124,LPS956_160124,LPS957_160124,LPS958_160124,LPS959_160124,LPS960_160124,LPS961_160124,LPS962_160124,LPS963_160124,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124,VECPAC_3352_290124,VECPAC_3355_290124,VECPAC_3664_290124,VECPAC_3665_290124,VECPAC_3689_290124,VECPAC3296_300124,VECPAC3303_300124,VECPAC3304_300124,VECPAC3306_300124,VECPAC3318_300124,VECPAC3328_300124,VECPAC3330_300124,VECPAC3334_300124,VECPAC3356_300124,VECPAC3370_300124,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124,DSS107_190124,DSS901_190124,DSS902_190124,DSST1.5_190124,DSST1.6_190124,DSST1.7_190124,DSST1.8_190124,DSS85_230124,DSS87_230124,DSS90_230124,DSS117_REP_310124,DSS122_230124,DSS906_230124,DSS907_230124,DSST3.6_230124,DSST3.7_230124,DSST3.8_230124,DSS91_REP_310124,DSS94_250124,DSS95_250124,DSS125_250124,DSS126_250124,DSS127_250124,DSS129_250124,DSS912_REP_250124,DSST5.5_REP_250124,DSST5.6_REP_250124,DSST5.8_250124
3-Methyl-2-butanol,62363.10192,0,34623.78301,64104.61162,32440.45659,68260.1924,0,4911.172198,67285.32499,4398.324951,0,2663.46677,64888.41422,64409.79786,67078.89992,0,0,1863.179833,72373.93702,0,0,0,0,0,0,0,6835.694478,0,0,0,0,41409.46829,0,42267.01483,0,0,0,0,0,0,0,0,43193.60018,0,45193.79327,0,0,41408.31945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26710.05824,46565.7607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237135.5453,160800.368,0,185012.4219,181931.0008,166501.8246,0,155355.1981,0,0,0,0,113342.8852,184043.7627,0,0,175225.7911,131148.4374,0,187080.8563,0,0,0,0,0,0,0,137798.9624,198721.5664,147676.0029
"3-Methyl-2-butenoic acid, tridec-2-ynyl ester",2577033.85,8646575.458,0,5405095.069,7969911.902,5532824.157,13855302.03,11932334.94,6296598.959,6746954.405,5863545.776,3469315.888,2797859.216,0,0,5890071.92,20740640.75,8896384.478,14694084.51,6199535.032,0,6297926.284,4396552.687,0,4630734.892,9273527.655,10350567.21,10401883.38,11345357.4,12265618.32,10776336.99,0,11497573.96,13972998.18,22844543.97,25274667.68,21300613.04,22422920.65,0,20199899.79,20549550.96,27154649.7,0,17640737.02,15463583.02,13685519.94,15250615.67,20882127.5,11757459.66,11079864.67,18216885.09,13362512.63,14442119.01,9871433.16,13734412.63,0,10334377.71,0,12366967.41,11687383.02,13692817.65,14906072.71,16728428.84,21581172.65,15376025.68,14796827.55,0,14613165.77,0,14525352.7,8922749.398,9416457.394,0,9037102.782,12747854.41,0,0,19098102.82,10660573.21,14163846.61,11070887.05,10473766.31,14443585.66,0,11447070.6,0,0,0,11246340.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Methyladenine,5078.658804,11910.57922,7075.805102,18241.87684,0,5198.112628,4802.503568,13073.0849,2567.288733,0,9119.196094,2342.132096,1418.212792,10705.0786,3834.123282,11756.79201,43877.08245,28670.22019,140471.351,28167.0936,171697.7628,247150.8856,17387.71928,31751.67239,210514.2517,42662.24108,39610.0899,44825.84059,42797.9501,47577.0146,120268.7355,42884.88791,49520.49082,46818.76955,48300.34794,42509.62712,50472.11719,46340.55669,44468.05934,47646.0449,42424.05063,56160.11596,48912.12297,54177.53493,45576.06114,50446.45592,48702.87478,44798.80648,48249.09042,54867.13377,0,49061.125,78172.40921,48181.93153,160479.2385,45121.79299,46811.88785,50445.41985,89548.17091,41244.35315,37153.58502,75829.97892,43279.63285,50811.37508,45511.62521,44657.33818,56913.40579,43868.66474,50746.68146,93209.54786,40066.31205,43781.13481,46914.89179,53791.32005,51554.70867,41884.78854,197351.4819,43665.29694,47952.22878,48242.23948,45068.64655,42365.53545,50295.54669,50490.6756,44167.39249,6168.769883,3369.842949,0,0,10736.03384,0,0,0,0,0,0,0,156.2121973,1618.331815,4527.150859,0,0,0,0,0,0,3170.853023,465.5196169,589.4885614,8490.326249,0,8445.421861,784.0457807,0,0,0,0
"3-Methylpiperazine-2,5-dione, (R)-",140948.2842,807397.5597,256122.6868,2530516.561,73070.86576,82630.92874,144056.8375,922692.5112,257332.2186,463343.0672,391280.9254,450107.5202,717318.4552,686191.8573,125925.8718,2533282.925,1421437.418,1137885.667,3167453.027,254461.3145,2899808.889,2437702.758,2069447.558,864073.6096,3357824.35,0,0,0,0,0,0,0,7624.170236,0,0,0,8461.94945,0,0,8633.713836,0,0,10747.84817,0,0,11507.46817,12241.49592,0,12232.67358,0,0,12732.61944,14447.41278,8470.081999,14355.97942,15086.20879,9555.615638,9559.558256,10990.19575,11112.16263,11610.9835,8602.796195,9538.137162,10018.02294,4050.006998,9853.385438,10684.47481,10007.71497,10326.11493,13637.40443,11889.51902,12040.46248,11118.72247,11491.52201,11479.7589,12815.14035,16173.31636,15190.3924,12714.81348,15623.78044,12846.31685,12826.12237,15582.08265,10448.35885,0,14961830.98,13762776.66,6506312.159,0,8361517.188,0,0,0,0,0,0,834561.0663,5050097.717,9908833.146,7973348.264,334375.0664,0,0,0,0,0,13926910.98,3089982.566,0,11942619.51,265647.7169,9644763.013,11000437.34,0,0,0,0
3-Methylvaleric acid,52285.03575,59352.62735,43366.01072,0,22243.23659,25432.60193,51704.2389,18780.80657,74310.46905,0,60333.57421,44917.78575,18166.80741,71885.79035,23045.55885,96994.05719,39301.64175,10660.15051,47388.33335,28730.92805,26227.10067,0,17910.73398,21482.84459,20162.40641,55601.61173,55578.36,78358.0176,51836.02179,52302.0867,55910.54928,51213.50972,65830.26274,62503.83176,78109.95009,69535.00914,59183.0725,65930.47858,68838.85935,57574.71832,75882.98397,74749.32115,73499.63955,57962.87697,59507.52637,56739.5179,67895.55054,63811.73607,57506.89154,54296.528,47071.13,8171.787554,0,69145.09785,0,2353.869866,53246.54095,0,46289.30608,0,69393.00019,51856.10868,56384.02434,48559.93583,46063.58627,48413.67415,46697.57284,54963.62618,47878.72554,52074.14246,46205.71472,42268.93822,50361.66165,44299.3398,43624.9102,67958.24973,0,0,37992.36394,6377.940535,40472.10525,34601.77743,7709.289409,43985.42183,45446.3412,1460.167531,194.9715608,929.6928013,0,0,0,0,111.6545166,124.5407504,172.890598,379.0135324,0,609.4580919,83.41729456,270.1143643,854.0634537,600.2778835,600.6800879,0,0,0,0,611.2144538,286.4420141,590.9134094,0,640.6394635,683.2558949,423.7187657,0,368.7326306,0
3-Nonen-1-ol,0,3582240.459,4718313.428,0,0,3213482.994,0,3425218.592,3784317.785,0,0,0,3237377.069,0,0,1643204.74,0,8484768.773,0,1694909.556,1819670.161,3135998.501,3371162.232,1720295.618,3727028.327,640631.6507,652429.4048,668287.6194,602035.586,652534.3523,400812.757,0,690533.5351,1911122.346,676452.0199,1661130.893,676590.8129,0,696104.0527,0,708923.6671,718359.1346,0,756515.3129,488321.3724,686392.9722,723501.1739,1146797.439,757465.7518,731995.7123,707773.8805,0,1028243.556,1616336.274,950799.2494,0,2476590.95,926287.3726,0,433590.7715,706591.5346,690822.0345,646573.4637,667253.3387,677020.1007,714321.4777,741052.3917,722413.559,893903.2002,3172711.966,791136.9652,811618.9687,798395.2202,3352916.217,803981.3126,1437388.536,894207.0554,865955.2414,1459945.681,960429.9426,1396148.26,768793.6215,1706597.451,744437.3753,1313943.262,24418649.72,36983712.54,0,0,9647973.484,0,0,0,0,0,0,8569247.261,0,5981671.296,0,7584137.097,0,0,894992.8756,0,0,44069511.75,0,0,8334989.302,0,6256424.329,11532343.86,0,0,0,0
3-Ureidopropionic acid,0,0,67.04688191,0,135.7063316,0,0,0,0,0,0,0,0,0,121.4846455,0,0,0,221.2884652,515.8408179,0,0,0,0,0,6.603988821,47.67744907,108.4650816,49.38271192,10.68330413,112.2214111,7.949151598,59.04668679,17.67216402,116.0207436,70.20142804,75.70421667,139.6182418,154.4794384,56.07713112,51.38688882,0,8.773197613,16.20676479,53.11626104,56.8131564,67.4060784,31.86300327,54.38937881,41.12889988,13.88028605,7.478401102,23.67501309,13.20484678,22.61123445,145.2274002,1.010300889,0,8.165255687,82.32220748,44.35454627,34.05968623,8.491652861,99.85954146,11.28121209,0,19.44033241,11.73392074,7.443359362,45.86047066,8.262048866,0,10.43488686,1.273037645,5.651914086,63.54287129,95.40756182,9.151209945,0,16.48650214,0.664478193,22.02530751,46.38750736,10.31781628,0,11.50673601,16.8716754,23.27636953,30.69466746,7.73117263,0.408840117,4.556904726,5.979364558,17.66140275,44.50504108,32.90633063,29.70640688,5.945182763,6.49620931,16.48004266,24.07222578,23.64934449,39.31037396,25.3530492,20.0762552,4.188172267,8.405794258,7.067043296,2.257689619,1.27705344,13.05019983,5.453097664,15.51110458,0,0,38.23310277,20.11764424
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-",2061538.048,2649892.964,4250730.703,505670.7318,2317815.313,3578459.898,3617927.189,4421087.692,2092010.561,3471494.98,1885463.429,948573.7058,1433389.015,1926101.046,2077886.644,1671372.517,1741395.727,2352555.092,1344410.976,3783758.002,1054704.109,1053807.805,1574582.356,2294977.427,1787017.168,0,132900.7889,205097.9503,117560.4167,103595.2458,101902.2671,121500.0951,210728.358,163969.4805,303816.8469,202194.7184,273147.0509,298379.1556,224177.6625,253242.8854,549021.27,517454.0082,97835.19927,138943.3332,203786.8909,248746.5224,109795.3255,172997.402,163991.4175,313011.6469,296858.5731,163612.9322,70682.4376,0,70563.00981,67953.87372,123202.9117,123757.6334,125435.1539,110360.4266,105892.7104,243071.0493,111666.7388,345366.0988,0,126650.1249,102084.8873,85452.32369,107327.6435,100152.4746,108791.5213,182653.5574,186319.4997,70148.3381,180342.3484,113767.9755,120101.7371,545822.5774,131942.3575,118644.2259,31193.42951,190956.7574,128595.2246,254160.3838,154892.7008,9599492.123,7527128.06,7224795.934,655962.1236,8044962.408,1684949.673,1849837.188,1677938.957,2104551.885,2875846.363,4511108.925,15284277.13,8365363.5,8006555.996,8737266.538,21226199.73,3605359.399,2913633.662,2946640.528,1409036.767,1459463.29,6907490.556,11901300.26,10855541.5,20528263.01,13229467.96,9221060.05,12831121.53,4248697.071,1616248.222,628452.783,3307054.482
"3,4-Dihydroxymandelic acid, ethyl ester",0,30708.95867,0,0,0,0,0,0,0,0,0,77707.67584,0,0,0,670493.686,0,0,2618397.952,0,1242205.349,94888.30651,1310954.013,1656177.879,790602.3314,26680.1505,408514.7672,34774.73429,329931.5769,562851.9688,333357.1222,412589.1257,681813.1743,734675.6735,855125.5608,703360.9479,518211.3506,877817.3002,940602.5668,1283087.865,1210886.331,9103.763005,814741.7351,427157.21,1118592.017,1327282.834,1462541.001,1959853.231,1850562.337,1886398.148,1648459.992,229942.5617,646854.1851,35786.19834,467583.7189,256626.3898,164847.2522,451103.2054,773928.1119,856166.9693,62237.68321,349681.7708,165278.2061,708628.4286,768597.5892,354477.2085,60482.95704,679313.0783,848819.8925,56888.07515,700123.0857,80153.86882,400591.518,55275.30477,78541.66563,558018.1105,624733.1021,737425.5524,69719.08943,772201.8268,548845.6469,63906.64743,66502.74732,231891.1005,544821.0457,0,0,0,0,4562.887737,0,798.9705191,0,0,0,2601.287826,298.7849787,0,0,0,0,548.7037374,0,0,0,106.0519048,0,355.7250192,277.1917914,0,0,0,0,0,0,157.6601409,0
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine",0,0,0,20681181.53,100873030.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9073919.492,0,154582621.6,17964324.67,19643094.59,31272395.1,38632497.9,3034264.578,56877276.51,4561162.302,27584127.31,59858448.37,54535379.1,60323923.77,29629455.98,0,0,0,0,48629212.24,35539711.37,0,0,0,39311210.59,0,45753266.46,20295096.83,0,38102188.46,0,42279360.01,13205851.53,0,0,0,0,0,0,0,0,0,2285407.653,0,0,1329720.131,0,0,0,0,0,0,0,58951024.91,0,1336829.096,0,0,2336171.72,0,7908284.152,0,0,5179161.872,4714458.043,4234239.56,1920440.986,1886729.707,2588008.756,2947597.283,3152796.628,2098015.983,2554327.39,3086719.752,3763477.775,5085648.23,5166761.909,5126305.839,4752645.096,3220291.808,2673218.915,1206106.187,1898458.229,2118243.446,5706828.157,4561445.852,3630148.537,5357709.554,4318177.293,6973967.179,9036837.455,2323594.319,1471493.807,1442485.821,1562231.948
"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",428.0084669,0,1844.656055,0,0,350.3394208,544.8517702,2026.1561,0,473.037395,0,0,0,0,0,0,0,0,0,0,0,647.4708841,2984.105082,0,2284.161453,373.8817676,0,0,0,946.096445,727.8631182,764.4765165,959.0494098,0,0,687.3179706,928.8262125,791.8245596,1134.211276,890.8373279,0,431.7915095,905.4055012,2582.780277,924.8335164,0,1132.495646,424.3481923,1545.901329,1549.033302,1307.531481,292.089256,0,0,0,0,0,0,0,0,0,0,0,1450.574365,1201.68238,0,1164.902833,883.4320661,542.7110453,2114.148852,4943.22257,279.7908541,4229.084099,0,2271.952614,3406.188325,331.0474349,0,0,0,0,1701.373079,0,0,0,0,122.6626079,114.8989049,8.160339581,67.45670903,17.81522371,0,0,17.09842291,0,0,0,0,169.4118118,169.4509937,144.1467474,0,0,17.390368,12.70107067,8.900119637,168.146716,132.5318255,67.87841592,113.0668199,136.0283626,138.8685565,211.6629075,0,5.387702715,14.93289415,3.136913936
"3,5-Di-tert-butyl-2-trimethylsilyloxybenzaldehyde",39626.0217,0,38381.59342,94922.33622,30918.20531,25112.41139,0,0,149425.9449,0,46837.25329,39931.42372,170979.258,62555.81501,84211.55701,158180.9848,161360.545,0,0,22479.84283,0,0,149319.1804,0,116582.3573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60723.59916,107050.4265,136819.3968,0,0,158014.9041,157213.6098,136540.1925,131106.008,0,109654.1418,114694.5811,81832.69452,121720.9143,142694.8859,62071.38064,0,0,78067.81256,203984.372,84474.42575,0,107345.7778,116053.0102,0,109003.3753,103252.4389,0,0,150250.7969,119396.3592,171933.6987,109763.4088,139427.8972,145430.6494,120807.2484,98701.30333,58999.79937,115026.2455,68670.89694,95085.88521,92756.52907,120090.7795,65004.65708,319878.4814,244780.8651,0,0,129275.6412,0,0,0,0,0,179885.4368,0,0,161858.9437,234789.201,0,0,0,0,0,0,0,0,0,0,0,263851.3874,0,0,0,0,0
"3,5-di-tert-Butyl-4-hydroxyacetophenone",206246.5108,1125877.531,0,240231.0173,123623.3539,122518.4618,0,0,117687.0251,824372.9353,0,169100.3555,69006.25994,0,0,168990.4738,174463.1525,0,313318.8039,195276.0948,362714.8804,475138.6635,45299.00733,168333.6404,153611.1698,304989.5191,347204.026,0,399270.7391,0,253366.6146,396101.0913,226854.1578,0,380475.8588,469199.5782,266268.2555,0,326849.9725,0,423827.2998,260419.0906,443467.4136,0,478054.2712,0,481740.8366,504569.9482,0,253610.0918,380718.4228,488560.9898,352832.3335,0,480991.0333,473286.7769,0,550819.6404,255785.2832,392313.9674,462436.5635,374916.6896,484282.9443,407695.2455,432938.4599,506980.4739,418003.6453,487956.023,286973.4654,318262.2315,378485.9096,479090.7654,364836.4842,345969.8616,313587.2256,472926.2524,496532.0988,293448.5213,235163.2001,281448.8069,322182.3772,278149.0906,304586.3769,321771.1146,241680.4123,0,141820.9709,0,153260.5795,0,176816.4011,183212.0749,165553.5189,0,243043.9062,247587.4341,159833.3579,0,123342.1662,0,97678.8389,230539.4947,0,0,0,0,0,0,0,0,0,0,0,204857.7729,232081.3289,278092.7813,215546.0873
"3,5-Dimethyl-1,4-diallylpyrazole",3169644.776,3500127.211,2436562.463,7730553.194,3628417.586,4059271.624,3440896.909,2095953.671,4205974.474,2184335.614,2460636.512,2774600.042,3812936.317,2233331.722,2964739.659,5002621.134,2825632.081,3272849.148,4401612.466,3001278.696,4327220.811,3871701.321,5000279.236,2770138.5,3531910.5,3844125.867,2470277.527,3034892.097,3517475.099,2383366.679,1697132.398,3477927.062,6845914.672,2516043.913,6971099.089,11108082.33,7973689.051,8814958.777,4108214.102,7544764.431,0,2288058.582,9648684.436,7221006.939,2289230.939,6810209.793,0,1160604.874,10388673.25,7397158.886,3209799.701,0,0,3406253.075,0,0,4044376.342,0,11564690.46,13884344.37,19988321.44,0,12340349.64,9765957.657,10776884.56,3956783.08,10130317.58,0,6825501.569,8990545.544,13534785.74,0,14190558.57,5954997.462,10890541.44,3882962.784,923499.7159,0,0,0,2263124.874,10331790.57,0,2367499.3,0,0,0,0,38227.34924,0,0,0,0,0,0,0,0,0,0,0,0,37281.40435,0,0,0,0,0,0,0,0,0,0,0,0,0,36591.30195,0
"3,5-Dimethylpyrazole",38942.40691,44253.91799,49296.9379,0,43503.69965,47057.30668,0,43594.17067,47483.5204,96941.59248,126774.6147,119272.161,0,104081.5338,53690.66002,0,129394.9317,47075.77257,0,112446.7797,0,107231.9495,122570.221,106312.4388,128211.3796,32202.93351,34873.41165,36169.63909,38003.53388,37383.0582,34588.6991,39224.77023,36092.70967,38479.36612,38924.42282,39495.61852,36955.50242,38760.95218,36804.23179,33378.70524,40231.33475,33642.68519,41902.07856,38299.7923,42876.16708,37298.39814,40535.00064,41435.1258,38485.21552,38740.41794,38945.68028,0,0,37386.81011,0,0,35067.91143,0,32920.96745,31295.40026,36946.53834,32369.05238,34984.43778,37303.42079,38178.72686,36632.58503,40355.78088,36947.58683,39284.72286,39460.66189,35390.72613,34864.36735,38738.72267,37168.73539,13647.46685,32763.95438,44141.23348,0,0,0,0,0,0,13240.03945,34498.96272,325163.9211,0,221003.4807,0,260476.6013,0,113305.1705,0,105524.1974,0,102684.565,0,0,0,93835.75502,340791.1986,347102.2611,360702.8791,154492.0538,0,311153.449,0,0,316101.3405,0,0,300966.5385,0,295322.4099,325268.7956,421762.4341,0
3'-(Trimethylsilyl)oxy-beta-naphthoflavone,88444.42519,78781.20838,0,0,13971.74596,16470.43283,0,102033.6742,58463.64647,130368.674,69062.80252,80335.33974,117955.0058,75678.39383,0,0,163074.5286,139422.8684,558081.0918,40081.75655,702914.7988,827335.9969,313506.9496,86824.29898,387983.2531,0,0,91793.09625,172404.1357,0,0,0,0,0,0,0,0,0,0,336594.9707,0,0,45072.97481,0,0,165169.1342,277422.8169,0,0,0,2730.730341,0,0,0,0,0,78790.04324,0,0,0,38806.8109,0,12.5272098,0,86613.53531,551006.6054,387105.0007,359538.2477,15009.24608,0,417491.5921,0,182374.6216,0,351818.0847,0,0,365210.9448,837983.5134,0,120769.6815,0,0,9469.884888,893167.6848,290707.4342,0,328220.8662,300682.8994,0,0,0,0,0,0,1027104.72,653675.7908,0,136192.4001,922941.5393,0,66705.32357,0,357403.7986,0,0,1042682.528,0,1209511.025,1058775.72,0,883762.9465,0,0,306196.3299,0,0
3'-Hydroxyacetophenone,11564.7416,44233.60602,8733.790781,2791.428246,5862.267532,11267.13283,6581.8335,11846.80843,10845.62167,13113.25197,46097.60958,4435.873429,4367.288845,7725.782494,9413.659837,10659.29465,34848.09467,10999.96883,14658.31884,13603.01707,24130.7219,20780.47743,6511.703846,13740.48194,47618.76453,0,45383.58649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26467.62391,10050.39713,0,0,0,11842.81931,36961.41234,0,44995.58792,0,43112.93737,0,0,0,0,42888.37368,0,0,51415.93667,91806.63637,0,0,44141.52609,0,0,84016.92869,0,44861.7417,0,41686.99319,99811.59926,22637.14017,14568.84954,33557.91884,13791.39436,15344.68257,16356.98467,24116.21711,17567.69715,47101.29033,75853.72108,37709.74619,22380.05309,81128.29058,46579.84799,15812.49425,20476.09475,11983.15071,19650.93817,19104.44174,55541.2695,45479.50771,21013.18294,113018.7868,16381.97035,63457.34029,58445.17743,10633.90349,17399.69224,19502.13013,15883.81227
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",111.6676741,1046.643118,1500.095749,0,365.0400713,989.6872174,658.9724879,2165.866021,277.7570931,2116.041144,2010.893927,0,77.22237333,146.955993,294.7528846,0,2820.05949,329.1697624,144.6802068,943.940176,25.25003067,0,73.09362748,535.5573421,533.3918002,10.37896359,8.065950869,0,3.671314818,8.394383265,2.846707669,8.925772836,4.224319199,0,12.7525857,0,14.43990024,0,3.473058107,0,6.202165683,0,0,17.72948696,9.887526927,13.273013,0,3.935510285,7.397843415,5.127327372,5.880945971,21.04991071,0,5.375741402,5.743193399,0,6.377783671,0,0,4.374821165,4.020152882,0,10.12021948,14.77053349,19.68830192,14.54885663,14.23585142,10.50353747,0,3.055281733,5.67112232,0,0,0,8.67279718,7.576532431,8.399625743,16.98482511,10.86231485,0,0,4.742763192,6.903005708,0,11.77047771,836.7871814,4227.655429,370.5161379,77.80738988,1137.969554,271.6305783,232.6140517,298.6673841,254.4012524,73.28307737,467.7816092,5354.312009,259.2162443,506.7819335,14202.58182,13760.71453,262.1150763,250.7287149,202.7122848,101.4698505,80.15987292,171.1231467,127.545741,119.6238254,10231.28355,1661.477822,22326.90131,2048.4841,15.14490486,1168.652749,115.1934115,234.8475754
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",148.1113851,426.8923335,536.9904622,347.1352044,316.5929362,230.4406095,299.0372462,464.1368366,306.7056815,468.321257,484.417119,734.5005048,386.1937414,533.0486584,449.4248531,339.5945762,1071.8888,176.9642168,111.677931,253.862396,214.7073519,215.5168672,255.1852966,293.1779408,371.8509449,115.4834649,169.2728215,197.3808178,112.8379338,225.5175796,279.3751845,268.1061404,126.9607241,278.1703637,356.1032991,233.7307715,237.0289369,161.9195892,141.3110372,127.3764627,132.1579644,304.1733049,359.0931119,331.5969448,333.3152497,317.7816663,273.7274717,399.2523656,254.0828614,284.1408274,281.4086823,209.4372472,62.91850122,72.7609558,292.197112,173.40694,103.2056187,133.5541429,178.23516,171.8941211,77.02886702,96.6323613,142.5940924,275.8733194,329.8563172,218.2673331,255.4475975,226.5179655,263.4493757,158.2358892,206.3099472,167.4833209,204.1855555,68.49443434,261.5714324,129.9526586,149.4384563,251.665907,158.4528665,322.2904727,234.3479406,212.6216706,93.47053182,121.4886951,292.2587416,514.017361,1042.60381,385.6796935,886.9992083,762.7154381,315.8448795,698.003057,522.5497482,496.6871895,379.9426136,637.0026793,984.5101731,753.4072664,768.5737259,2462.804272,1277.291728,1124.321059,899.8038139,440.2042447,594.9410281,392.6556023,671.2292138,512.0343599,745.4832924,1191.190894,387.7200373,3487.636311,1246.69477,78.55284796,172.8040868,282.0784103,282.0654208
4-(Methoxycarbonyl)phenol,172241.9924,33588.33785,71417.10249,125783.9704,243759.4719,134352.369,195614.9605,197541.338,97117.21462,72613.37607,29668.50941,89845.25621,30167.85754,105499.3576,54234.30871,86158.86326,25781.99095,113909.4264,174161.318,73472.74702,156432.9855,327112.3221,149799.2361,41298.17891,155834.6449,132538.8889,133476.1424,182312.9179,160196.6044,434740.8682,264481.8934,92758.07352,85671.3572,88105.58163,66224.96876,79712.81973,77431.67688,120320.2651,77708.22876,103575.913,105428.6866,198497.1059,69207.76737,117374.9499,182704.6042,137791.6113,198813.1174,86989.80015,134520.8143,281163.8626,122637.838,124071.5821,0,139545.8845,2938.403456,0,155883.0461,166673.0952,55175.33132,193533.6477,242077.878,208351.1898,189561.5532,283153.0212,217930.6814,206116.2406,90868.63647,175948.6098,60604.12532,132978.0166,95291.91635,192736.6113,192131.3032,68485.16262,132265.7848,217559.7676,178911.916,156246.6861,442394.2854,0,298114.9526,246037.1816,3056.778229,178681.6334,181031.966,34589.95464,14948.92631,7095.826112,68072.60468,8237.931643,32429.65264,40163.3686,107836.8218,101464.7041,3104.893901,33895.08155,10538.81139,3244.007331,11837.79411,4420.260964,4879.230479,110842.4543,43210.61059,38575.8746,84657.48736,52668.27084,4234.686314,3122.576951,19186.31755,34636.06312,5185.480242,12486.6644,10505.73491,107144.4071,44549.04138,51459.27186,24580.07208
"4-(tert-Butylamino)-6-ethylamino-5H-1,3,5-triazin-2-one",9041.516935,13283.09567,2347.465231,2043.24837,6506.451318,12460.69911,9812.443229,4265.431006,5163.302646,13774.89015,14129.55569,12657.53919,4064.461124,5743.621319,6150.281817,2429.144608,3139.198067,10903.07528,2924.415095,19095.77928,3381.782,3973.204398,1976.128045,7294.258867,3262.932641,0,0,76067.90618,73345.79017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70223.84428,0,74126.12193,0,0,167875.9385,0,0,0,125604.9771,0,0,0,0,0,0,0,0,0,84252.3791,7605.412116,0,0,0,0,0,0,0,0,0,0,620.4605607,0,0,0,0,0,0,0,0,12539.74113,0,0,0,0,0,8642.9116,0,0,0,0
4-(Trimethylsilyoxy)-3-penten-2-one,1792922.007,3584524.404,3168381.62,1684775.178,2981502.42,3417255.747,3977649.429,3633136.615,3134871.629,3644739.477,5599345.254,3046769.572,4516680.594,3944935.042,4557798.238,1575841.865,4928675.627,4918332.208,4364594.268,3278365.005,4483275.966,2750631.81,1589557.811,1054709.347,3449422.18,2107343.946,2395893.356,2377963.794,1486809.759,2391706.13,2455413.49,2627351.679,2500098.936,2690588.596,2880234.52,2712603.056,2868032.988,2695327.007,2816603.663,2876030.065,2508073.118,2571752.59,2830847.58,3209545.806,3661564.547,3324764.515,3475174.615,3314962.794,3779049.13,4100858.656,3330713.469,3085327.602,3526411.439,2573188.925,3402767.759,3433332.997,3016320.976,2666588.02,3068427.968,3160625.222,4182424.546,2952575.905,3189497.681,3284684.351,3547601.181,3305600.494,2625738.256,3077538.888,3596040.472,4153936.718,2980733.304,4340329.972,3098115.004,2370128.885,2655788.207,2786060.385,3380955.316,3208235.445,2184651.627,3768616.623,3596034.781,2838276.64,3774795.55,2509484.576,3038544.061,4916553.065,5375317.27,4531813.179,1692653.469,3823068.105,3402445.491,3093549.69,2807453.697,3818522.074,2810671.29,3775140.011,4018759.045,4647840.273,4946601.782,5993288.996,5930225.941,3346443.899,6403755.259,2885639.08,2989291.928,3063197.897,5016762.423,4071943.262,4414293.749,5145917.085,4635655.978,4961752.537,5684621.332,3127304.731,4007126.958,6441651.702,5404253.072
